0.9068852840648631		SimpleArgument(Geoffrey Hext Sutherland Bushnell FBA,List([0, 37)))	Relation(was,List([71, 74)))	SimpleArgument(a British archaeologist,List([75, 98)))	Geoffrey Hext Sutherland Bushnell FBA (31 May 1903 - 26 December 1978) was a British archaeologist.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(head of the Museum of Anthropology,List([7, 41)))	He was head of the Museum of Archaeology and Anthropology, University of Cambridge 1948-1970 and Fellow of Corpus Christi College, Cambridge.
0.38089450366724514		SimpleArgument(Cambridge,List([102, 111)))	Relation([is] Cambridge Fellow of,List([57, 76)))	SimpleArgument(Corpus Christi College,List([77, 99)))	He was head of the Museum of Archaeology and Anthropology, University of Cambridge 1948-1970 and Fellow of Corpus Christi College, Cambridge.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was head of,List([3, 14)))	SimpleArgument(the Museum,List([15, 25)))	He was head of the Museum of Archaeology and Anthropology, University of Cambridge 1948-1970 and Fellow of Corpus Christi College, Cambridge.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(head of the Museum of Archaeology,List([7, 40)))	He was head of the Museum of Archaeology and Anthropology, University of Cambridge 1948-1970 and Fellow of Corpus Christi College, Cambridge.
0.292827695956731	Context(he took,List([55, 62)))	SimpleArgument(he,List([55, 57)))	Relation(took his BA specialising in,List([58, 62), [63, 66), [67, 69)))	SpatialArgument(geology,List([115, 122)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.5318826144464953		SimpleArgument(he,List([55, 57)))	Relation(took his BA,List([58, 62), [63, 69)))	SpatialArgument(Cambridge,List([37, 46)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.1273814832686296		SimpleArgument(he,List([55, 57)))	Relation(took his BA in,List([58, 62), [63, 69), [89, 91)))	TemporalArgument(1925,List([92, 96)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.4328394458044063		SimpleArgument(he,List([55, 57)))	Relation(took his BA in,List([58, 62), [63, 69), [70, 72)))	SimpleArgument(Natural Science,List([73, 88)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.2929110702089528		SimpleArgument(he,List([55, 57)))	Relation(took,List([58, 62)))	SimpleArgument(his BA,List([63, 69)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was educated at,List([3, 15), [16, 18)))	SpatialArgument(Downing College,List([19, 34)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was educated at,List([3, 15), [16, 18)))	SpatialArgument(Wellington College,List([19, 37)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was the son of,List([3, 17)))	SimpleArgument(an Anglican clergyman,List([18, 39)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the son of an Anglican clergyman,List([7, 39)))	He was the son of an Anglican clergyman and was educated at Wellington College and Downing College, Cambridge, where he took his BA in Natural Science in 1925, specialising in geology.
0.2560951955542683	Context(he worked,List([99, 108)))	SimpleArgument(he,List([0, 2)))	Relation(pursued,List([3, 10)))	SimpleArgument(it,List([11, 13)))	His interest lay in ancient America and he pursued it by becoming an oil geologist in Ecuador with Anglo-Ecuadorian Oilfields, for whom he worked from 1926 to 1938.
0.22506131975927415		SimpleArgument(he,List([47, 49)))	Relation(worked from,List([50, 56), [57, 61)))	SimpleArgument(1926 to 1938,List([62, 74)))	His interest lay in ancient America and he pursued it by becoming an oil geologist in Ecuador with Anglo-Ecuadorian Oilfields, for whom he worked from 1926 to 1938.
0.6796597830231682		SimpleArgument(His interest,List([0, 12)))	Relation(lay in,List([13, 16), [17, 19)))	SimpleArgument(ancient America,List([20, 35)))	His interest lay in ancient America and he pursued it by becoming an oil geologist in Ecuador with Anglo-Ecuadorian Oilfields, for whom he worked from 1926 to 1938.
0.3665821366566675		SimpleArgument(his PhD thesis,List([45, 59)))	Relation(awarded in,List([61, 68), [69, 71)))	TemporalArgument(1948,List([72, 76)))	His spare-time fieldwork formed the basis of his PhD thesis, awarded in 1948.
0.51318521882248		SimpleArgument(His spare-time fieldwork,List([0, 24)))	Relation(formed,List([25, 31)))	SimpleArgument(the basis of his PhD thesis,List([32, 59)))	His spare-time fieldwork formed the basis of his PhD thesis, awarded in 1948.
0.5926659981335703		SimpleArgument(he,List([56, 58)))	Relation(became in 1948 After,List([0, 5), [59, 68), [69, 73)))	TemporalArgument(serving during the War with the Royal Engineers,List([6, 53)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.9118690906339357		SimpleArgument(Curator of Cambridge University 's Museum of Ethnology,List([82, 136)))	Relation(remained until,List([148, 156), [157, 162)))	TemporalArgument(he retired in 1970,List([163, 181)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.45243121649964957		SimpleArgument(he,List([62, 64)))	Relation(became in 1948,List([65, 71), [72, 79)))	TemporalArgument(Curator of Cambridge University 's Museum of Ethnology,List([82, 136)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.22506131975927415		SimpleArgument(he,List([165, 167)))	Relation(retired in,List([168, 175), [176, 178)))	TemporalArgument(1970,List([179, 183)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.9118690906339357		SimpleArgument(Curator of Cambridge University 's Museum of Archaeology,List([82, 138)))	Relation(remained until,List([150, 158), [159, 164)))	TemporalArgument(he retired in 1970,List([165, 183)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.5926659981335703		SimpleArgument(he,List([62, 64)))	Relation(became in 1948 After,List([0, 5), [65, 74), [75, 79)))	TemporalArgument(serving during the War with the Lincolnshire Regiment,List([6, 59)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.45243121649964957		SimpleArgument(he,List([62, 64)))	Relation(became in 1948,List([65, 71), [72, 79)))	TemporalArgument(Curator of Cambridge University 's Museum of Archaeology,List([82, 138)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.22506131975927415		SimpleArgument(he,List([62, 64)))	Relation(became in,List([65, 71), [72, 74)))	SimpleArgument(1948,List([75, 79)))	After serving during the War with the Lincolnshire Regiment and the Royal Engineers, he became in 1948, Curator of Cambridge University's Museum of Archaeology and Ethnology, which he remained until he retired in 1970.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(was elected FBA in,List([3, 14), [15, 18), [19, 21)))	TemporalArgument(1970,List([22, 26)))	He was elected a Fellow of Corpus Christi College in 1963, became Reader in New World Archaeology in 1966, and was elected FBA in 1970.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was elected,List([3, 14)))	SimpleArgument(FBA,List([15, 18)))	He was elected a Fellow of Corpus Christi College in 1963, became Reader in New World Archaeology in 1966, and was elected FBA in 1970.
0.4328394458044063	Context(He was elected a Fellow of Corpus Christi College in 1963 became,List([0, 66)))	SimpleArgument(He,List([0, 2)))	Relation(was elected,List([3, 14)))	SimpleArgument(a Fellow of Corpus Christi College in 1963,List([15, 57)))	He was elected a Fellow of Corpus Christi College in 1963, became Reader in New World Archaeology in 1966, and was elected FBA in 1970.
0.5668619657349482		SimpleArgument(He was elected a Fellow of Corpus Christi College in 1963,List([0, 57)))	Relation(became Reader in New World Archaeology in,List([60, 66), [67, 98), [99, 101)))	TemporalArgument(1966,List([102, 106)))	He was elected a Fellow of Corpus Christi College in 1963, became Reader in New World Archaeology in 1966, and was elected FBA in 1970.
0.8170904340951294		SimpleArgument(He was elected a Fellow of Corpus Christi College in 1963,List([0, 57)))	Relation(became,List([60, 66)))	SimpleArgument(Reader in New World Archaeology,List([67, 98)))	He was elected a Fellow of Corpus Christi College in 1963, became Reader in New World Archaeology in 1966, and was elected FBA in 1970.
0.6582659227599074		SimpleArgument(they,List([0, 4)))	Relation(are buried together in,List([5, 24), [25, 27)))	SpatialArgument(the Parish of the Ascension Burial Ground in Cambridge,List([28, 82)))	He married Patricia Louise Egerton Bushnell, née Ruck (5 February 1912 - 5 April 2009) and they are buried together in the Parish of the Ascension Burial Ground in Cambridge.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(married,List([3, 10)))	SimpleArgument(Patricia Louise Egerton Bushnell,List([11, 43)))	He married Patricia Louise Egerton Bushnell, née Ruck (5 February 1912 - 5 April 2009) and they are buried together in the Parish of the Ascension Burial Ground in Cambridge.
