0.9329286852051247		SimpleArgument(The Grenadian passport,List([0, 22)))	Relation(is issued to citizens of Grenada for,List([23, 32), [33, 55), [56, 59)))	SimpleArgument(international travel,List([60, 80)))	The Grenadian passport is issued to citizens of Grenada for international travel.
0.9436221120476838		SimpleArgument(The Grenadian passport,List([0, 22)))	Relation(is issued to,List([23, 32), [33, 35)))	SimpleArgument(citizens of Grenada,List([36, 55)))	The Grenadian passport is issued to citizens of Grenada for international travel.
0.8795239151465067		SimpleArgument(the Grenadian passport,List([13, 35)))	Relation(is normally valid,List([36, 47), [48, 53)))	TemporalArgument(When issued,List([0, 11)))	When issued, the Grenadian passport is normally valid for five years.
0.9329286852051247		SimpleArgument(the Grenadian passport,List([13, 35)))	Relation(is normally valid for,List([36, 47), [48, 53), [54, 57)))	TemporalArgument(five years,List([58, 68)))	When issued, the Grenadian passport is normally valid for five years.
0.8306090960787457		SimpleArgument(the Grenadian passport,List([13, 35)))	Relation(is normally,List([36, 47)))	SimpleArgument(valid,List([48, 53)))	When issued, the Grenadian passport is normally valid for five years.
0.9180804252893389		SimpleArgument(New applicants,List([0, 14)))	Relation(are issued with,List([15, 25), [26, 30)))	SimpleArgument(a Caribbean Community Grenada Passport,List([31, 69)))	New applicants are issued with a Caribbean Community Grenada Passport.
0.9331344389958927	Context(Prime Minister Dr Keith Mitchell refused,List([272, 312)))	SimpleArgument(the then Prime Minister Dr Keith Mitchell,List([263, 304)))	Relation(to reveal,List([313, 322)))	SimpleArgument(who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of its national security ' as his reasons for not doing so,List([323, 478)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
0.8720973524067704		SimpleArgument(Prime Minister Dr Keith Mitchell,List([272, 304)))	Relation(refused to reveal who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of its national security ' as his reasons for not doing so,List([305, 312), [313, 478)))	TemporalArgument(then,List([267, 271)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
0.9315438906463943		SimpleArgument(Prime Minister Dr Keith Mitchell,List([272, 304)))	Relation(refused to,List([305, 312), [313, 315)))	SimpleArgument(reveal who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of its national security ' as his reasons for not doing so,List([316, 478)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
0.9625607320295538	Context(Prime Minister Dr Keith Mitchell refused,List([272, 312)))	SimpleArgument(the then Prime Minister Dr Keith Mitchell,List([263, 304)))	Relation(to reveal,List([313, 322)))	SimpleArgument(who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of the country,List([323, 434)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
0.8720973524067704		SimpleArgument(Prime Minister Dr Keith Mitchell,List([272, 304)))	Relation(refused to reveal who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of the country,List([305, 312), [313, 434)))	TemporalArgument(then,List([267, 271)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
0.9616413806066126		SimpleArgument(Prime Minister Dr Keith Mitchell,List([272, 304)))	Relation(refused to,List([305, 312), [313, 315)))	SimpleArgument(reveal who had benefited from the scheme by receiving a Grenadian passport , citing ' the best interest of the country,List([316, 434)))	Philip Agee, a former CIA intelligence officer turned whistleblower was issued with a Grenadian passport in 1980 when his US passport was withdrawn.Following the government policy reversal in 1984 on Grenada's controversial 'economic citizenship programme', the then Prime Minister Dr Keith Mitchell refused to reveal who had benefited from the scheme by receiving a Grenadian passport, citing 'the best interest of the country and its national security' as his reasons for not doing so.
