0.9445721975409912		SimpleArgument(Douglas Hamilton,List([0, 16)))	Relation(was,List([51, 54)))	SimpleArgument(a Reuters foreign correspondent,List([55, 86)))	Douglas Hamilton (4 March 1947 - 24 December 2012) was a Reuters foreign correspondent.
0.9436221120476838		SimpleArgument(Douglas Matthew Hamilton,List([0, 24)))	Relation(was born in,List([25, 33), [34, 36)))	SpatialArgument(Fife,List([37, 41)))	Douglas Matthew Hamilton was born in Fife, Scotland.
0.3498441627223176		SimpleArgument(he,List([36, 38)))	Relation(was known for,List([39, 48), [49, 52)))	SimpleArgument(his writing on the fall of the Berlin Wall,List([53, 95)))	A dual Canadian-British citizen, he was known for his writing on the fall of the Berlin Wall, and regime changes in Czechoslovakia and Romania, the breakup and wars of succession of Yugoslavia, the rise and fall of dictators in Africa and the effects of the 2009 Israeli offensive on Gaza.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Kosovo wars , from behind the scenes from the front lines of the Iraq Syria conflicts,List([25, 125)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Kosovo wars , from behind the scenes from the front lines of the Iraq Libya conflicts,List([25, 125)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Kosovo wars , from behind the scenes from the front lines of the Iraq , Lebanon conflicts,List([25, 129)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Croatia wars , from behind the scenes from the front lines of the Iraq Syria conflicts,List([25, 126)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Croatia wars , from behind the scenes from the front lines of the Iraq Libya conflicts,List([25, 126)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Croatia wars , from behind the scenes from the front lines of the Iraq , Lebanon conflicts,List([25, 130)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from the Bosnia wars , from behind the scenes from the front lines of the Iraq Syria conflicts,List([25, 129)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from the Bosnia wars , from behind the scenes from the front lines of the Iraq Libya conflicts,List([25, 129)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from the Bosnia wars , from behind the scenes from the front lines of the Iraq , Lebanon conflicts,List([25, 133)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Kosovo wars , from behind the scenes at the NATO,List([25, 88)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Kosovo wars , from behind the scenes at the EU,List([25, 86)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Croatia wars , from behind the scenes at the NATO,List([25, 89)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from Croatia wars , from behind the scenes at the EU,List([25, 87)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from the Bosnia wars , from behind the scenes at the NATO,List([25, 92)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.7728580355942064		SimpleArgument(His assignments,List([0, 15)))	Relation(included,List([16, 24)))	SimpleArgument(reporting from the Bosnia wars , from behind the scenes at the EU,List([25, 90)))	His assignments included reporting from the Bosnia, Croatia and Kosovo wars, from behind the scenes at the EU and NATO and from the front lines of the Iraq, Lebanon, Libya and Syria conflicts.
0.9529384246512104		SimpleArgument(Hamilton,List([17, 25)))	Relation(reported on the 2012 Tel Aviv bus bombing In,List([0, 2), [26, 59), [60, 67)))	TemporalArgument(November 2012,List([3, 16)))	In November 2012 Hamilton reported on the missile attacks on Tel Aviv, and the 2012 Tel Aviv bus bombing.
0.9324144673478683		SimpleArgument(Hamilton,List([17, 25)))	Relation(reported on,List([26, 34), [35, 37)))	SimpleArgument(the 2012 Tel Aviv bus bombing,List([38, 67)))	In November 2012 Hamilton reported on the missile attacks on Tel Aviv, and the 2012 Tel Aviv bus bombing.
0.9529384246512104		SimpleArgument(Hamilton,List([17, 25)))	Relation(reported on the missile attacks on Tel Aviv In,List([0, 2), [26, 64), [65, 69)))	TemporalArgument(November 2012,List([3, 16)))	In November 2012 Hamilton reported on the missile attacks on Tel Aviv, and the 2012 Tel Aviv bus bombing.
0.9324144673478683		SimpleArgument(Hamilton,List([17, 25)))	Relation(reported on,List([26, 34), [35, 37)))	SimpleArgument(the missile attacks on Tel Aviv,List([38, 69)))	In November 2012 Hamilton reported on the missile attacks on Tel Aviv, and the 2012 Tel Aviv bus bombing.
0.4217817445622922		SimpleArgument(He,List([0, 2)))	Relation(taking,List([17, 23)))	SimpleArgument(his daily swim in the Mediterranean Sea, off the coast of Tel Aviv,List([24, 90)))	He drowned while taking his daily swim in the Mediterranean Sea, off the coast of Tel Aviv.
0.46321337686369213		SimpleArgument(He,List([0, 2)))	Relation(drowned while,List([3, 10), [11, 16)))	TemporalArgument(taking his daily swim in the Mediterranean Sea, off the coast of Tel Aviv,List([17, 90)))	He drowned while taking his daily swim in the Mediterranean Sea, off the coast of Tel Aviv.
