0.9527410621066101		SimpleArgument(Peacekeeper Park,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(an urban park in Calgary,List([20, 44)))	Peacekeeper Park is an urban park in Calgary, Alberta.
0.8797652531099371		SimpleArgument(The park,List([0, 8)))	Relation(is located on,List([9, 19), [60, 62)))	SpatialArgument(the former grounds of Canadian Forces Base Calgary,List([63, 113)))	The park is located in the neighbourhood of North Glenmore, on the former grounds of Canadian Forces Base Calgary.
0.9180804252893389		SimpleArgument(The park,List([0, 8)))	Relation(is located in,List([9, 19), [20, 22)))	SpatialArgument(the neighbourhood of North Glenmore,List([23, 58)))	The park is located in the neighbourhood of North Glenmore, on the former grounds of Canadian Forces Base Calgary.
0.9324013441347372		SimpleArgument(members,List([68, 75)))	Relation(have given their lives on,List([80, 90), [91, 102), [103, 105)))	SimpleArgument(peace support missions with other organizations since the end of the Second World War , including the current mission in Afghanistan,List([106, 238)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9070256105064161		SimpleArgument(The park,List([0, 8)))	Relation(includes,List([9, 17)))	SimpleArgument(a memorial wall with the names of Canadian Forces members who have given their lives on peace support missions with NATO since the end of the Second World War , including the current mission in Afghanistan,List([18, 223)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9070256105064161		SimpleArgument(The park,List([0, 8)))	Relation(includes,List([9, 17)))	SimpleArgument(a memorial wall with the names of Canadian Forces members who have given their lives on peace support missions with the United Nations since the end of the Second World War , including the current mission in Afghanistan,List([18, 237)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9324013441347372		SimpleArgument(members,List([68, 75)))	Relation(have given their lives on,List([80, 90), [91, 102), [103, 105)))	SimpleArgument(peacekeeping support missions with other organizations since the end of the Second World War , including the current mission in Afghanistan,List([106, 245)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.7950722565701456		SimpleArgument(members,List([68, 75)))	Relation(have given,List([80, 90)))	SimpleArgument(their lives,List([91, 102)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9030401971054747		SimpleArgument(The park,List([0, 8)))	Relation(includes,List([9, 17)))	SimpleArgument(a memorial wall with the names of Canadian Forces,List([18, 67)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9070256105064161		SimpleArgument(The park,List([0, 8)))	Relation(includes,List([9, 17)))	SimpleArgument(a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping support missions with NATO since the end of the Second World War , including the current mission in Afghanistan,List([18, 230)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.8720035698750073		SimpleArgument(Canadian Forces members,List([52, 75)))	Relation(have given their lives since,List([80, 90), [91, 102), [160, 165)))	TemporalArgument(the end of the Second World War,List([166, 197)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.8247751551634085		SimpleArgument(Canadian Forces members,List([52, 75)))	Relation(have given,List([80, 90)))	SimpleArgument(their lives,List([91, 102)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
0.9070256105064161		SimpleArgument(The park,List([0, 8)))	Relation(includes,List([9, 17)))	SimpleArgument(a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping support missions with the United Nations since the end of the Second World War , including the current mission in Afghanistan,List([18, 244)))	The park includes a memorial wall with the names of Canadian Forces members who have given their lives on peacekeeping and peace support missions with the United Nations, NATO and other organizations since the end of the Second World War, including the current mission in Afghanistan.
