0.8429029460838295	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " complete " arms embargo for,List([209, 216), [217, 225), [226, 253), [269, 272)))	SimpleArgument(the purposes of establishing stability,List([273, 311)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.9372894553083382		SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " complete " arms embargo on the country for the purposes of establishing stability after,List([2, 7), [209, 301), [302, 311)))	TemporalArgument(expressing its alarm at the situation in Somalia regarding the heavy loss of life , destruction to threat to regional stability,List([8, 135)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8429029460838295	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " complete " arms embargo for,List([209, 216), [217, 225), [226, 253), [269, 272)))	SimpleArgument(the purposes of establishing peace,List([273, 307)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8915165135976557	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " complete " arms embargo on,List([209, 216), [217, 225), [226, 253), [254, 256)))	SimpleArgument(the country,List([257, 268)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8915165135976557	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place,List([209, 216), [217, 225)))	SimpleArgument(a " complete " arms embargo,List([226, 253)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.9372894553083382		SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " complete " arms embargo on the country for the purposes of establishing peace after,List([2, 7), [209, 301), [302, 307)))	TemporalArgument(expressing its alarm at the situation in Somalia regarding the heavy loss of life , destruction to threat to regional stability,List([8, 135)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8915165135976557	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " general arms embargo on the country for,List([209, 216), [217, 225), [226, 265), [266, 269)))	SimpleArgument(the purposes of establishing stability,List([270, 308)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.9372894553083382		SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " general arms embargo on the country for the purposes of establishing stability after,List([2, 7), [209, 298), [299, 308)))	TemporalArgument(expressing its alarm at the situation in Somalia regarding the heavy loss of life , destruction to threat to regional stability,List([8, 135)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8915165135976557	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place a " general arms embargo on the country for,List([209, 216), [217, 225), [226, 265), [266, 269)))	SimpleArgument(the purposes of establishing peace,List([270, 304)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.8915165135976557	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided to place,List([209, 216), [217, 225)))	SimpleArgument(a " general arms embargo on the country,List([226, 265)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
0.905769740587339	Context(the Council decided,List([138, 216)))	SimpleArgument(the Council,List([138, 149)))	Relation(decided acting under,List([152, 158), [159, 164), [209, 216)))	SimpleArgument(Chapter VII of the United Nations Charter,List([165, 206)))	United Nations Security Council resolution 733, adopted unanimously on 23 January 1992, after expressing its alarm at the situation in Somalia regarding the heavy loss of life, destruction to property and threat to regional stability, the Council, acting under Chapter VII of the United Nations Charter, decided to place a "general and complete" arms embargo on the country for the purposes of establishing peace and stability.
