0.9385402566050433		SimpleArgument(The 2011-12 Hong Kong FA Cup,List([0, 28)))	Relation(was,List([29, 32)))	SimpleArgument(the 38th season of Hong Kong FA Cup,List([33, 68)))	The 2011–12 Hong Kong FA Cup was the 38th season of Hong Kong FA Cup.
0.6783685094789625		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a knockout competition for all the teams of the 2011-12 Hong Kong First Division League,List([6, 93)))	It is a knockout competition for all the teams of the 2011–12 Hong Kong First Division League.
0.96505113098125	Context(Brain Leung announced,List([13, 81)))	SimpleArgument(the winner of the FA Cup,List([82, 106)))	Relation(would be,List([107, 115)))	SimpleArgument(qualified to 2012 Chinese FA Cup after the voting result of board meeting,List([116, 189)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.8512410865575031		SimpleArgument(Brain Leung,List([13, 24)))	Relation(announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after the voting result of board meeting,List([72, 81), [82, 189)))	TemporalArgument(Originally,List([0, 10)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.9406832008355759		SimpleArgument(Brain Leung,List([13, 24)))	Relation(announced,List([72, 81)))	SimpleArgument(the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after the voting result of board meeting,List([82, 189)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.4953178616921359		SimpleArgument(Brain Leung,List([13, 24)))	Relation([is] chairman of,List([27, 38)))	SimpleArgument(Hong Kong Football Association,List([39, 69)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.9451106961725476	Context(Brain Leung announced,List([13, 81)))	SimpleArgument(the winner of the FA Cup,List([82, 106)))	Relation(would be qualified to 2012 Chinese FA Cup after,List([107, 115), [116, 148), [149, 154)))	TemporalArgument(both the invitation of Chinese Football Association,List([155, 206)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.9451106961725476	Context(Brain Leung announced,List([13, 81)))	SimpleArgument(the winner of the FA Cup,List([82, 106)))	Relation(would be,List([107, 115)))	SimpleArgument(qualified to 2012 Chinese FA Cup,List([116, 148)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.8512410865575031		SimpleArgument(Brain Leung,List([13, 24)))	Relation(announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association,List([72, 81), [82, 206)))	TemporalArgument(Originally,List([0, 10)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.9406832008355759		SimpleArgument(Brain Leung,List([13, 24)))	Relation(announced,List([72, 81)))	SimpleArgument(the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association,List([82, 206)))	Originally, Brain Leung, chairman of Hong Kong Football Association, announced the winner of the FA Cup would be qualified to 2012 Chinese FA Cup after both the invitation of Chinese Football Association and the voting result of board meeting.
0.7323734373534755		SimpleArgument(the plan,List([10, 18)))	Relation(was abolished,List([19, 32)))		However, the calendar of Chinese FA Cup had been announced before the board meeting and therefore the plan was abolished.
0.9489461080096143		SimpleArgument(the calendar of Chinese FA Cup,List([10, 40)))	Relation(had been announced before,List([41, 59), [60, 66)))	TemporalArgument(the board meeting,List([67, 84)))	However, the calendar of Chinese FA Cup had been announced before the board meeting and therefore the plan was abolished.
0.9324144673478683		SimpleArgument(Kitchee,List([0, 7)))	Relation(completed,List([8, 17)))	SimpleArgument(The Treble,List([18, 28)))	Kitchee clinch their first Hong Kong FA Cup title and completed The Treble.
0.9085499454025062		SimpleArgument(Kitchee,List([0, 7)))	Relation(clinch,List([8, 14)))	SimpleArgument(their first Hong Kong FA Cup title,List([15, 49)))	Kitchee clinch their first Hong Kong FA Cup title and completed The Treble.
