0.9397554176335701		SimpleArgument(Hans Huitfeldt Riddervold,List([0, 25)))	Relation(was,List([59, 62)))	SimpleArgument(a Norwegian media executive,List([63, 90)))	Hans Huitfeldt Riddervold (16 October 1927 – 26 July 1980) was a Norwegian media executive.
0.3497525988439521		SimpleArgument(He,List([0, 2)))	Relation(was born as,List([3, 11), [26, 28)))	SimpleArgument(a son of newspaper manager,List([29, 55)))	He was born in Kristiania as a son of newspaper manager Hans Julius Riddervold (1901–1986) and Cathrine Huitfeldt.
0.50931417287027		SimpleArgument(He,List([0, 2)))	Relation(was born as,List([3, 11), [26, 28)))	SimpleArgument(a son of newspaper manager Hans Julius Riddervold ( 1901-1986,List([29, 90)))	He was born in Kristiania as a son of newspaper manager Hans Julius Riddervold (1901–1986) and Cathrine Huitfeldt.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Kristiania,List([15, 25)))	He was born in Kristiania as a son of newspaper manager Hans Julius Riddervold (1901–1986) and Cathrine Huitfeldt.
0.38089450366724514		SimpleArgument(He,List([70, 72)))	Relation(was a nephew of,List([73, 88)))	SimpleArgument(editor Henrik Jørgen Schibsted Huitfeldt,List([89, 129)))	He was a paternal great-great-grandson of politician Hans Riddervold, He was a nephew of editor Henrik Jørgen Schibsted Huitfeldt.
0.6280863741994668	Context(He was,List([70, 76)))	SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a paternal great-great-grandson of politician Hans Riddervold,List([7, 68)))	He was a paternal great-great-grandson of politician Hans Riddervold, He was a nephew of editor Henrik Jørgen Schibsted Huitfeldt.
0.5129232809985469		SimpleArgument(He,List([70, 72)))	Relation(was,List([73, 76)))	SimpleArgument(a nephew of editor Henrik Jørgen Schibsted Huitfeldt,List([77, 129)))	He was a paternal great-great-grandson of politician Hans Riddervold, He was a nephew of editor Henrik Jørgen Schibsted Huitfeldt.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(married to Tove,List([7, 22)))	He was married to Tove, née Baumann.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(took a bookprinter 's apprenticeship from,List([3, 7), [8, 39), [58, 62)))	SimpleArgument(1947 to 1951,List([63, 75)))	He took his examen artium in 1946, and took a bookprinter's apprenticeship in Grøndahl & Søn from 1947 to 1951.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(took a bookprinter 's apprenticeship in,List([3, 7), [8, 39), [40, 42)))	SpatialArgument(Grøndahl & Søn,List([43, 57)))	He took his examen artium in 1946, and took a bookprinter's apprenticeship in Grøndahl & Søn from 1947 to 1951.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(took,List([3, 7)))	SimpleArgument(a bookprinter 's apprenticeship,List([8, 39)))	He took his examen artium in 1946, and took a bookprinter's apprenticeship in Grøndahl & Søn from 1947 to 1951.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(took his examen artium in,List([3, 7), [8, 25), [26, 28)))	TemporalArgument(1946,List([29, 33)))	He took his examen artium in 1946, and took a bookprinter's apprenticeship in Grøndahl & Søn from 1947 to 1951.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(took,List([3, 7)))	SimpleArgument(his examen artium,List([8, 25)))	He took his examen artium in 1946, and took a bookprinter's apprenticeship in Grøndahl & Søn from 1947 to 1951.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(graduated with the Bachelor of Science degree in,List([3, 12), [13, 48), [49, 51)))	TemporalArgument(1954,List([52, 56)))	He then studied at the Carnegie Institute of Technology and graduated with the Bachelor of Science degree in 1954.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(graduated with,List([3, 12), [13, 17)))	SimpleArgument(the Bachelor of Science degree,List([18, 48)))	He then studied at the Carnegie Institute of Technology and graduated with the Bachelor of Science degree in 1954.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(studied,List([8, 15)))	TemporalArgument(then,List([3, 7)))	He then studied at the Carnegie Institute of Technology and graduated with the Bachelor of Science degree in 1954.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(studied at,List([8, 15), [16, 18)))	SpatialArgument(the Carnegie Institute of Technology,List([19, 55)))	He then studied at the Carnegie Institute of Technology and graduated with the Bachelor of Science degree in 1954.
0.3497525988439521		SimpleArgument(He,List([0, 2)))	Relation(was hired as,List([3, 12), [63, 65)))	SimpleArgument(a civil engineer,List([66, 82)))	He was hired in the family-owned newspaper Aftenposten in 1953 as a civil engineer.
0.22015391053105568		SimpleArgument(He,List([0, 2)))	Relation(was hired as a civil engineer in,List([3, 12), [55, 73), [74, 82)))	TemporalArgument(1953,List([58, 62)))	He was hired in the family-owned newspaper Aftenposten in 1953 as a civil engineer.
