0.9397554176335701		SimpleArgument(Ada Lois James,List([0, 14)))	Relation(was,List([57, 60)))	SimpleArgument(reformer,List([61, 69)))	Ada Lois James (March 23, 1876 – September 29, 1952) was a suffragist, social worker, and reformer.
0.9761895773903279		SimpleArgument(Ada Lois James ( March 23 , 1876 - September 29 , 1952,List([0, 54)))	Relation(was,List([57, 60)))	SimpleArgument(a suffragist , social worker,List([61, 89)))	Ada Lois James (March 23, 1876 – September 29, 1952) was a suffragist, social worker, and reformer.
0.743023728279333		SimpleArgument(both her parents,List([104, 120)))	Relation(played prominent roles,List([121, 127), [128, 143)))	SpatialArgument(the woman 's suffrage movement,List([64, 94)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.6601056213946704		SimpleArgument(both her parents,List([104, 120)))	Relation(played,List([121, 127)))	SimpleArgument(prominent roles,List([128, 143)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.3048426724432105		SimpleArgument(she,List([38, 41)))	Relation(became active,List([47, 53), [54, 60)))	TemporalArgument(soon,List([42, 46)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.41051436014453063		SimpleArgument(she,List([38, 41)))	Relation(became active in,List([47, 53), [54, 60), [61, 63)))	TemporalArgument(the woman 's suffrage movement,List([64, 94)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.19710908353723788		SimpleArgument(she,List([38, 41)))	Relation(became,List([47, 53)))	SimpleArgument(active,List([54, 60)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.45170382506656653		SimpleArgument(she,List([38, 41)))	Relation(taught school for,List([42, 48), [49, 55), [56, 59)))	TemporalArgument(several years,List([60, 73)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.45170382506656653		SimpleArgument(she,List([38, 41)))	Relation(taught,List([42, 48)))	SimpleArgument(school,List([49, 55)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.4953178616921359		SimpleArgument(Wisconsin,List([26, 35)))	Relation([is] Center [of],List([17, 23)))	SimpleArgument(Richland,List([8, 16)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.22506131975927415		SimpleArgument(she,List([38, 41)))	Relation(graduated from high school in,List([42, 51), [52, 68), [69, 71)))	TemporalArgument(1894,List([72, 76)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.45170382506656653		SimpleArgument(she,List([38, 41)))	Relation(graduated from,List([42, 51), [52, 56)))	SimpleArgument(high school,List([57, 68)))	Born in Richland Center, Wisconsin, she graduated from high school in 1894, taught school for several years, and soon became active in the woman's suffrage movement in which both her parents played prominent roles.
0.9180804252893389		SimpleArgument(the league,List([112, 122)))	Relation(was combined with,List([123, 135), [136, 140)))	SimpleArgument(the Wisconsin Woman's Suffrage Association,List([141, 183)))	In 1911 she became president of the newly formed Political Equality League, holding this office until 1913 when the league was combined with the Wisconsin Woman's Suffrage Association under the leadership of Mrs. Henry Youmans (q.v.).
0.19710908353723788		SimpleArgument(she,List([8, 11)))	Relation(holding this office until,List([76, 83), [84, 95), [96, 101)))	TemporalArgument(1913,List([102, 106)))	In 1911 she became president of the newly formed Political Equality League, holding this office until 1913 when the league was combined with the Wisconsin Woman's Suffrage Association under the leadership of Mrs. Henry Youmans (q.v.).
0.41051436014453063		SimpleArgument(she,List([8, 11)))	Relation(holding,List([76, 83)))	SimpleArgument(this office,List([84, 95)))	In 1911 she became president of the newly formed Political Equality League, holding this office until 1913 when the league was combined with the Wisconsin Woman's Suffrage Association under the leadership of Mrs. Henry Youmans (q.v.).
0.29886655727758943		SimpleArgument(she,List([8, 11)))	Relation(became president of the newly formed Political Equality League In,List([0, 2), [12, 67), [68, 74)))	TemporalArgument(1911,List([3, 7)))	In 1911 she became president of the newly formed Political Equality League, holding this office until 1913 when the league was combined with the Wisconsin Woman's Suffrage Association under the leadership of Mrs. Henry Youmans (q.v.).
0.4978219019954182		SimpleArgument(she,List([8, 11)))	Relation(became,List([12, 18)))	SimpleArgument(president of the newly formed Political Equality League,List([19, 74)))	In 1911 she became president of the newly formed Political Equality League, holding this office until 1913 when the league was combined with the Wisconsin Woman's Suffrage Association under the leadership of Mrs. Henry Youmans (q.v.).
0.952945494449658		SimpleArgument(Ada James,List([0, 9)))	Relation(was active in,List([10, 13), [14, 20), [21, 23)))	SpatialArgument(many of the reform movements of the 1920 s including prohibition,List([24, 88)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
0.952945494449658		SimpleArgument(Ada James,List([0, 9)))	Relation(was active in,List([10, 13), [14, 20), [21, 23)))	SpatialArgument(many of the reform movements of the 1920 s including the advocacy of birth control,List([24, 106)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
0.886695286966665		SimpleArgument(Ada James,List([0, 9)))	Relation(was active in,List([10, 23)))	SimpleArgument(many,List([24, 28)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
0.9030401971054747		SimpleArgument(1920 s,List([60, 66)))	Relation(including,List([67, 76)))	SimpleArgument(pacifism,List([77, 85)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
0.952945494449658		SimpleArgument(Ada James,List([0, 9)))	Relation(was active in,List([10, 13), [14, 20), [21, 23)))	SpatialArgument(many of the reform movements of the 1920 s including pacifism,List([24, 85)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
0.8552025907515035		SimpleArgument(Ada James,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(active,List([14, 20)))	Ada James was active in many of the reform movements of the 1920s including pacifism, the advocacy of birth control, and prohibition.
