0.9485955390117107		SimpleArgument(Janna Malamud Smith,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(an American non-fiction author of five books,List([23, 67)))	Janna Malamud Smith is an American non-fiction author of five books.
0.9030401971054747		SimpleArgument(two children,List([59, 71)))	Relation(born to,List([72, 76), [77, 79)))	SimpleArgument(the writer,List([80, 90)))	She was born in Corvallis, Oregon in 1952, the second of two children born to Ann DeChiara Malamud and the writer Bernard Malamud.
0.9929999709129333		SimpleArgument(She,List([0, 0)))	Relation(was born in,List([0, 0)))	SimpleArgument(1952,List(null))	She was born in Corvallis, Oregon in 1952, the second of two children born to Ann DeChiara Malamud and the writer Bernard Malamud.
0.9180804252893389		SimpleArgument(two children,List([59, 71)))	Relation(born to,List([72, 76), [77, 79)))	SimpleArgument(Ann DeChiara Malamud,List([80, 100)))	She was born in Corvallis, Oregon in 1952, the second of two children born to Ann DeChiara Malamud and the writer Bernard Malamud.
0.15939332484157967		SimpleArgument(She,List([0, 3)))	Relation(was born in,List([4, 12), [35, 37)))	TemporalArgument(1952,List([38, 42)))	She was born in Corvallis, Oregon in 1952, the second of two children born to Ann DeChiara Malamud and the writer Bernard Malamud.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(was born in,List([4, 12), [13, 15)))	SpatialArgument(Corvallis,List([16, 25)))	She was born in Corvallis, Oregon in 1952, the second of two children born to Ann DeChiara Malamud and the writer Bernard Malamud.
0.4907332801074571		SimpleArgument(She,List([0, 3)))	Relation(grew up then in,List([4, 11), [12, 14), [24, 28)))	SpatialArgument(Oregon,List([15, 21)))	She grew up in Oregon, then in Bennington, Vermont, and Cambridge, Massachusetts.
0.19488885705601863		SimpleArgument(She,List([0, 3)))	Relation(grew up,List([4, 11)))	TemporalArgument(then,List([24, 28)))	She grew up in Oregon, then in Bennington, Vermont, and Cambridge, Massachusetts.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(grew up in,List([4, 11), [12, 14)))	SpatialArgument(Oregon,List([15, 21)))	She grew up in Oregon, then in Bennington, Vermont, and Cambridge, Massachusetts.
0.332563478582812	Context(She received,List([0, 12)))	SimpleArgument(She,List([0, 3)))	Relation(received her A.B. majoring in,List([4, 12), [13, 16), [17, 21)))	SimpleArgument(American Literature,List([68, 87)))	She received her A.B. from Harvard University in 1973, majoring in American History and Literature, and an M.S.W. in 1979 from Smith College.
0.292827695956731	Context(She received,List([0, 12)))	SimpleArgument(She,List([0, 3)))	Relation(received her A.B. majoring in,List([4, 12), [13, 16), [17, 21)))	SimpleArgument(American History,List([68, 84)))	She received her A.B. from Harvard University in 1973, majoring in American History and Literature, and an M.S.W. in 1979 from Smith College.
0.1273814832686296		SimpleArgument(She,List([0, 3)))	Relation(received her A.B. in,List([4, 12), [13, 21), [46, 48)))	TemporalArgument(1973,List([49, 53)))	She received her A.B. from Harvard University in 1973, majoring in American History and Literature, and an M.S.W. in 1979 from Smith College.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(received her A.B. from,List([4, 12), [13, 21), [22, 26)))	SimpleArgument(Harvard University,List([27, 45)))	She received her A.B. from Harvard University in 1973, majoring in American History and Literature, and an M.S.W. in 1979 from Smith College.
0.2929110702089528		SimpleArgument(She,List([0, 3)))	Relation(received,List([4, 12)))	SimpleArgument(her A.B.,List([13, 21)))	She received her A.B. from Harvard University in 1973, majoring in American History and Literature, and an M.S.W. in 1979 from Smith College.
