0.9180804252893389		SimpleArgument(a musician,List([14, 24)))	Relation(based in,List([25, 30), [31, 33)))	SpatialArgument(LA,List([34, 36)))	Em Hoggett is a British actress and musician based in LA.
0.9527410621066101		SimpleArgument(Em Hoggett,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(a musician based in LA,List([14, 36)))	Em Hoggett is a British actress and musician based in LA.
0.9250606141558615		SimpleArgument(a British actress,List([14, 31)))	Relation(based in,List([32, 37), [38, 40)))	SpatialArgument(LA,List([41, 43)))	Em Hoggett is a British actress and musician based in LA.
0.9527410621066101		SimpleArgument(Em Hoggett,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(a British actress based in LA,List([14, 43)))	Em Hoggett is a British actress and musician based in LA.
0.8964816034508865		SimpleArgument(Em,List([19, 21)))	Relation(trained as a classical concert pianist in England From,List([0, 4), [22, 63), [64, 71)))	TemporalArgument(the age of 4,List([5, 17)))	From the age of 4, Em trained as a classical concert pianist in England.
0.876543225140763		SimpleArgument(Em,List([19, 21)))	Relation(trained as,List([22, 29), [30, 32)))	SimpleArgument(a classical concert pianist in England,List([33, 71)))	From the age of 4, Em trained as a classical concert pianist in England.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(holds two degree level di LTCL in,List([4, 9), [10, 34), [37, 39)))	SpatialArgument(Piano Performance,List([40, 57)))	She holds two degree level di...plomas, ATCL and LTCL, in Piano Performance.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(holds,List([4, 9)))	SimpleArgument(two degree level di LTCL,List([10, 34)))	She holds two degree level di...plomas, ATCL and LTCL, in Piano Performance.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(holds two degree level di ATCL in,List([4, 9), [10, 34), [37, 39)))	SpatialArgument(Piano Performance,List([40, 57)))	She holds two degree level di...plomas, ATCL and LTCL, in Piano Performance.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(holds,List([4, 9)))	SimpleArgument(two degree level di ATCL,List([10, 34)))	She holds two degree level di...plomas, ATCL and LTCL, in Piano Performance.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(holds,List([4, 9)))	SimpleArgument(two degree level,List([10, 26)))	She holds two degree level di...plomas, ATCL and LTCL, in Piano Performance.
0.41051436014453063		SimpleArgument(She,List([0, 3)))	Relation(leading,List([55, 62)))	SimpleArgument(a recording,List([63, 74)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.41051436014453063		SimpleArgument(She,List([0, 3)))	Relation(singing,List([27, 34)))	TemporalArgument(a few years later,List([35, 52)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.41051436014453063		SimpleArgument(She,List([0, 3)))	Relation(leading,List([55, 62)))	SimpleArgument(a 12 piece soul / funk band,List([63, 90)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.16986108911692605		SimpleArgument(She,List([0, 3)))	Relation(singing,List([27, 34)))		She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.40710919743170804		SimpleArgument(She,List([0, 3)))	Relation(moved into jazz / soul,List([4, 9), [10, 26)))	TemporalArgument(a few years later,List([35, 52)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(moved into,List([4, 9), [10, 14)))	SimpleArgument(jazz / soul,List([15, 26)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
0.1886694268496255	Context(She began,List([0, 9)))	SimpleArgument(She,List([0, 3)))	Relation(began songwriting at,List([4, 9), [10, 21), [22, 24)))	TemporalArgument(13,List([25, 27)))	She began songwriting at 13, and moved into jazz/soul singing a few years later, leading a 12 piece soul/funk band and recording her own material.
