0.9569065201547587		SimpleArgument(Mukku Kasi Reddy,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(an Indian politician from Kanigiri constituency of Andhra Pradesh,List([20, 85)))	Mukku Kasi Reddy is an Indian politician from Kanigiri constituency of Andhra Pradesh.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(served as Sericulture Minister in,List([3, 9), [10, 33), [34, 36)))	SpatialArgument(NTR 's first Cabinet,List([37, 57)))	He has started his political career in 1983 as a Member of the Legislative Assembly (India) from Telugu Desam Party and served as Sericulture Minister in NTR's first Cabinet.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(Sericulture Minister,List([13, 33)))	He has started his political career in 1983 as a Member of the Legislative Assembly (India) from Telugu Desam Party and served as Sericulture Minister in NTR's first Cabinet.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(has started his political career in,List([3, 14), [15, 35), [36, 38)))	TemporalArgument(1983,List([39, 43)))	He has started his political career in 1983 as a Member of the Legislative Assembly (India) from Telugu Desam Party and served as Sericulture Minister in NTR's first Cabinet.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(has started,List([3, 14)))	SimpleArgument(his political career,List([15, 35)))	He has started his political career in 1983 as a Member of the Legislative Assembly (India) from Telugu Desam Party and served as Sericulture Minister in NTR's first Cabinet.
0.3497525988439521		SimpleArgument(He,List([0, 2)))	Relation(has represented Kanigiri constituency for,List([3, 18), [19, 40), [89, 92)))	TemporalArgument(3 times in 1983,List([93, 108)))	He has represented Kanigiri constituency as a Member of the Legislative Assembly (India) for 3 times in 1983, 1985, 1994.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has represented Kanigiri constituency as,List([3, 18), [19, 40), [41, 43)))	SimpleArgument(a Member of the Legislative Assembly,List([44, 80)))	He has represented Kanigiri constituency as a Member of the Legislative Assembly (India) for 3 times in 1983, 1985, 1994.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has represented,List([3, 18)))	SimpleArgument(Kanigiri constituency,List([19, 40)))	He has represented Kanigiri constituency as a Member of the Legislative Assembly (India) for 3 times in 1983, 1985, 1994.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(has served as ZP Chairman for Prakasam District In,List([0, 16), [17, 51), [52, 60)))	TemporalArgument(2001,List([3, 7)))	In 2001, he has won the Zilla Parishad Election and served as ZP Chairman for Prakasam District until 2006.
0.22506131975927415		SimpleArgument(he,List([10, 12)))	Relation(has served as ZP Chairman for Prakasam District until,List([13, 23), [24, 60), [61, 66)))	TemporalArgument(2006,List([67, 71)))	In 2001, he has won the Zilla Parishad Election and served as ZP Chairman for Prakasam District until 2006.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(has served as,List([13, 23), [24, 26)))	SimpleArgument(ZP Chairman for Prakasam District,List([27, 60)))	In 2001, he has won the Zilla Parishad Election and served as ZP Chairman for Prakasam District until 2006.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(has won the Zilla Parishad Election In,List([0, 16), [17, 39), [40, 48)))	TemporalArgument(2001,List([3, 7)))	In 2001, he has won the Zilla Parishad Election and served as ZP Chairman for Prakasam District until 2006.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(has won,List([13, 20)))	SimpleArgument(the Zilla Parishad Election,List([21, 48)))	In 2001, he has won the Zilla Parishad Election and served as ZP Chairman for Prakasam District until 2006.
0.29886655727758943		SimpleArgument(he,List([9, 11)))	Relation(quit the Telugu Desam Party In,List([0, 2), [12, 33), [34, 39)))	TemporalArgument(2009,List([3, 7)))	In 2009, he quit the Telugu Desam Party.
0.4978219019954182		SimpleArgument(he,List([9, 11)))	Relation(quit,List([12, 16)))	SimpleArgument(the Telugu Desam Party,List([17, 39)))	In 2009, he quit the Telugu Desam Party.
