0.9382554258342916		SimpleArgument(Clyde Williams,List([0, 14)))	Relation(is running for Congress in,List([15, 25), [26, 38), [39, 41)))	SpatialArgument(New York's 13th Congressional District,List([42, 80)))	Clyde Williams is running for Congress in New York's 13th Congressional District.
0.9382554258342916		SimpleArgument(Clyde Williams,List([0, 14)))	Relation(is running for,List([15, 25), [26, 29)))	SimpleArgument(Congress,List([30, 38)))	Clyde Williams is running for Congress in New York's 13th Congressional District.
0.9724893767751751		SimpleArgument(more than 20 - year career in public service,List([0, 44)))	Relation(includes,List([45, 53)))	SimpleArgument(work for Obama , the development of successful public - private sector partnerships nationally , and knowledge of Federal programs,List([54, 184)))	Clyde Williams' more than 20-year career in public service includes work for Presidents Clinton and Obama, the development of successful public-private sector partnerships in Harlem and nationally, and knowledge of Federal programs that affect urban communities.
0.9724893767751751		SimpleArgument(more than 20 - year career in public service,List([0, 44)))	Relation(includes,List([45, 53)))	SimpleArgument(work for Presidents Clinton , the development of successful public - private sector partnerships nationally , and knowledge of Federal programs,List([54, 197)))	Clyde Williams' more than 20-year career in public service includes work for Presidents Clinton and Obama, the development of successful public-private sector partnerships in Harlem and nationally, and knowledge of Federal programs that affect urban communities.
0.9909999966621399		SimpleArgument(more than 20 - year career,List([0, 0)))	Relation(includes,List([0, 0)))	SimpleArgument(work for Obama,List(null))	Clyde Williams' more than 20-year career in public service includes work for Presidents Clinton and Obama, the development of successful public-private sector partnerships in Harlem and nationally, and knowledge of Federal programs that affect urban communities.
0.9724893767751751		SimpleArgument(more than 20 - year career in public service,List([0, 44)))	Relation(includes,List([45, 53)))	SimpleArgument(work for Presidents Clinton , the development of successful public - private sector partnerships in Harlem , and knowledge of Federal programs,List([54, 196)))	Clyde Williams' more than 20-year career in public service includes work for Presidents Clinton and Obama, the development of successful public-private sector partnerships in Harlem and nationally, and knowledge of Federal programs that affect urban communities.
0.8872966301155124		SimpleArgument(Federal programs,List([115, 131)))	Relation(affect,List([137, 143)))	SimpleArgument(urban communities,List([144, 161)))	Clyde Williams' more than 20-year career in public service includes work for Presidents Clinton and Obama, the development of successful public-private sector partnerships in Harlem and nationally, and knowledge of Federal programs that affect urban communities.
0.8886820945984175		SimpleArgument(Clyde,List([15, 20)))	Relation(served as National Political Director of the Democratic National Committee,List([21, 27), [28, 95)))	TemporalArgument(Most recently,List([0, 13)))	Most recently, Clyde served as National Political Director of the Democratic National Committee, following the historic election of President Barack Obama.
0.9324144673478683		SimpleArgument(Clyde,List([15, 20)))	Relation(served as,List([21, 27), [28, 30)))	SimpleArgument(National Political Director of the Democratic National Committee,List([31, 95)))	Most recently, Clyde served as National Political Director of the Democratic National Committee, following the historic election of President Barack Obama.
0.886695286966665		SimpleArgument(Mona Sutphen,List([11, 23)))	Relation([is] wife [of],List([4, 8)))	SimpleArgument(him,List([0, 3)))	He and his wife, Mona Sutphen (who served as White House Deputy Chief of Staff to President Obama), were instrumental in furthering President Obama's national agenda.
0.6420236436771103		SimpleArgument(his wife,List([0, 8)))	Relation(were,List([97, 101)))	SimpleArgument(instrumental in furthering President Obama 's national agenda,List([102, 163)))	He and his wife, Mona Sutphen (who served as White House Deputy Chief of Staff to President Obama), were instrumental in furthering President Obama's national agenda.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(were,List([5, 9)))	SimpleArgument(instrumental in furthering President Obama 's national agenda,List([10, 71)))	He and his wife, Mona Sutphen (who served as White House Deputy Chief of Staff to President Obama), were instrumental in furthering President Obama's national agenda.
0.9166044900803317		SimpleArgument(Clyde,List([29, 34)))	Relation(earned a reputation During,List([0, 6), [35, 43), [44, 54)))	TemporalArgument(his stint at the DNC,List([7, 27)))	During his stint at the DNC, Clyde earned a reputation as a forceful advocate for the President's most loyal supporters within the Democratic Party.
0.9567562066335041		SimpleArgument(Clyde,List([29, 34)))	Relation(earned a reputation as,List([35, 41), [42, 54), [55, 57)))	SimpleArgument(a forceful advocate for the President's most loyal supporters within the Democratic Party,List([58, 147)))	During his stint at the DNC, Clyde earned a reputation as a forceful advocate for the President's most loyal supporters within the Democratic Party.
0.9197759696552441		SimpleArgument(Clyde,List([29, 34)))	Relation(earned,List([35, 41)))	SimpleArgument(a reputation,List([42, 54)))	During his stint at the DNC, Clyde earned a reputation as a forceful advocate for the President's most loyal supporters within the Democratic Party.
0.8739651883033833	Context(Clyde worked,List([10, 22)))	SimpleArgument(Clyde,List([10, 15)))	Relation(worked as Domestic Policy Advisor coordinating his post-presidential activities in,List([16, 22), [23, 25), [26, 49), [91, 103)))	SimpleArgument(Harlem,List([140, 146)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.7577519913650632	Context(Clyde worked,List([10, 22)))	SimpleArgument(Clyde,List([10, 15)))	Relation(worked as Domestic Policy Advisor coordinating,List([16, 22), [23, 25)))	SimpleArgument(his post-presidential activities,List([104, 136)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.8203663862060957		SimpleArgument(Clyde,List([10, 15)))	Relation(worked as Domestic Policy Advisor In,List([0, 2), [16, 41), [42, 49)))	TemporalArgument(2001,List([3, 7)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.9139478779591064		SimpleArgument(Clyde,List([10, 15)))	Relation(worked as Domestic Policy Advisor to,List([16, 22), [23, 49), [50, 52)))	SimpleArgument(President William Jefferson Clinton,List([53, 88)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.9139478779591064		SimpleArgument(Clyde,List([10, 15)))	Relation(worked as,List([16, 22), [23, 25)))	SimpleArgument(Domestic Policy Advisor,List([26, 49)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.8557456177405949		SimpleArgument(Clyde,List([10, 15)))	Relation(moved to Harlem In,List([0, 2), [16, 24), [25, 31)))	TemporalArgument(2001,List([3, 7)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.9324144673478683		SimpleArgument(Clyde,List([10, 15)))	Relation(moved to,List([16, 21), [22, 24)))	SimpleArgument(Harlem,List([25, 31)))	In 2001, Clyde moved to Harlem, and worked as Domestic Policy Advisor to President William Jefferson Clinton, coordinating his post-presidential activities in Harlem.
0.9030401971054747		SimpleArgument(national programs,List([0, 17)))	Relation(focused on,List([18, 25), [26, 28)))	SimpleArgument(education,List([29, 38)))	In his role at the Foundation, Clyde designed and implemented Harlem-based and national programs focused on economic empowerment and education.
0.9030401971054747		SimpleArgument(national programs,List([0, 17)))	Relation(focused on,List([18, 25), [26, 28)))	SimpleArgument(economic empowerment,List([29, 49)))	In his role at the Foundation, Clyde designed and implemented Harlem-based and national programs focused on economic empowerment and education.
0.9166044900803317		SimpleArgument(Clyde,List([32, 37)))	Relation(designed In,List([0, 2), [38, 46)))	SpatialArgument(his role at the Foundation,List([3, 29)))	In his role at the Foundation, Clyde designed and implemented Harlem-based and national programs focused on economic empowerment and education.
