0.9314904193639496		SimpleArgument(a progressive Islamic bank,List([40, 66)))	Relation(headquartered in,List([67, 80), [81, 83)))	SpatialArgument(Abu Dhabi,List([84, 93)))	Al Hilal Bank (Arabic: مصرف الهلال), is a progressive Islamic bank headquartered in Abu Dhabi.
0.949419443712137		SimpleArgument(Al Hilal Bank,List([0, 13)))	Relation(is,List([37, 39)))	SimpleArgument(a progressive Islamic bank headquartered in Abu Dhabi,List([40, 93)))	Al Hilal Bank (Arabic: مصرف الهلال), is a progressive Islamic bank headquartered in Abu Dhabi.
0.4978219019954182		SimpleArgument(it,List([45, 47)))	Relation(was founded by,List([48, 59), [60, 62)))	SimpleArgument(the Abu Dhabi Investment Council,List([63, 95)))	With an authorized capital of AED 4 billion, it was founded by the Abu Dhabi Investment Council, an investment arm of the Abu Dhabi government.
0.8992795558494276		SimpleArgument(the bank,List([28, 36)))	Relation(opened its first four branches From,List([0, 4), [37, 58), [59, 67)))	SpatialArgument(its home in Abu Dhabi,List([5, 26)))	From its home in Abu Dhabi, the bank opened its first four branches in the UAE on June 19, 2008.
0.8797652531099371		SimpleArgument(the bank,List([28, 36)))	Relation(opened its first four branches on,List([37, 43), [44, 67), [79, 81)))	TemporalArgument(June 19, 2008,List([82, 95)))	From its home in Abu Dhabi, the bank opened its first four branches in the UAE on June 19, 2008.
0.9180804252893389		SimpleArgument(the bank,List([28, 36)))	Relation(opened its first four branches in,List([37, 43), [44, 67), [68, 70)))	SpatialArgument(the UAE,List([71, 78)))	From its home in Abu Dhabi, the bank opened its first four branches in the UAE on June 19, 2008.
0.8348583869532935		SimpleArgument(the bank,List([28, 36)))	Relation(opened,List([37, 43)))	SimpleArgument(its first four branches,List([44, 67)))	From its home in Abu Dhabi, the bank opened its first four branches in the UAE on June 19, 2008.
0.9047898841628703	Context(it employs,List([8, 18)))	SimpleArgument(around 1,500 staff,List([19, 37)))	Relation(operates,List([38, 46)))	SimpleArgument(25 116 ATMs across the UAE,List([47, 73)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.5560910392893575		SimpleArgument(it,List([8, 10)))	Relation(employs around 1,500 staff operates 25 116 ATMs across the UAE,List([11, 18), [19, 73)))	TemporalArgument(Today,List([0, 5)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.5503378535116643		SimpleArgument(it,List([8, 10)))	Relation(employs,List([11, 18)))	SimpleArgument(around 1,500 staff operates 25 116 ATMs across the UAE,List([19, 73)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.9047898841628703	Context(it employs,List([8, 18)))	SimpleArgument(around 1,500 staff,List([19, 37)))	Relation(operates 25 branches as well as 3 branches in,List([38, 46), [47, 80), [81, 83)))	SpatialArgument(Kazakhstan,List([84, 94)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
