0.886695286966665		SimpleArgument(Loris Zeppieri,List([0, 14)))	Relation(is a partner in,List([15, 30)))	SimpleArgument(the law firm,List([31, 43)))	Loris Zeppieri is a partner in the law firm of KELLY, RODE & KELLY, LLP which was formed in 1956.
0.8221046453187117		SimpleArgument(the law firm of KELLY, RODE & KELLY, LLP,List([31, 71)))	Relation(was formed in,List([78, 88), [89, 91)))	TemporalArgument(1956,List([92, 96)))	Loris Zeppieri is a partner in the law firm of KELLY, RODE & KELLY, LLP which was formed in 1956.
0.9699974998635915		SimpleArgument(Loris Zeppieri,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(a partner in the law firm of KELLY, RODE & KELLY, LLP,List([18, 71)))	Loris Zeppieri is a partner in the law firm of KELLY, RODE & KELLY, LLP which was formed in 1956.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(has been a partner since,List([3, 11), [12, 21), [22, 27)))	TemporalArgument(2003,List([28, 32)))	He has been a member of the firm since 1997 and has been a partner since 2003.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a partner,List([12, 21)))	He has been a member of the firm since 1997 and has been a partner since 2003.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(has been a member of the firm since,List([3, 11), [12, 32), [33, 38)))	TemporalArgument(1997,List([39, 43)))	He has been a member of the firm since 1997 and has been a partner since 2003.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of the firm,List([12, 32)))	He has been a member of the firm since 1997 and has been a partner since 2003.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital appeals,List([37, 121)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital appeals,List([21, 121)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical appeals,List([37, 120)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical appeals,List([21, 120)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital general negligence,List([37, 132)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital general negligence,List([21, 132)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical general negligence,List([37, 131)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
