0.816575697747956		SimpleArgument(Spring Rolls,List([25, 37)))	Relation(Established in,List([38, 49), [50, 52)))	TemporalArgument(2015,List([53, 57)))	Bánh mì, Bun Thit Nuong, Spring Rolls Established in 2015.
0.8918329165024274		SimpleArgument(Chad Kubanoff,List([0, 13)))	Relation(started his career path at,List([14, 21), [22, 37), [48, 50)))	SpatialArgument(a local bakery washing dishes,List([51, 80)))	Chad Kubanoff started his career path at age 14 at a local bakery washing dishes.
0.9266232318014763		SimpleArgument(Chad Kubanoff,List([0, 13)))	Relation(started his career path at,List([14, 21), [22, 37), [38, 40)))	TemporalArgument(age 14,List([41, 47)))	Chad Kubanoff started his career path at age 14 at a local bakery washing dishes.
0.8726869446304376		SimpleArgument(Chad Kubanoff,List([0, 13)))	Relation(started,List([14, 21)))	SimpleArgument(his career path,List([22, 37)))	Chad Kubanoff started his career path at age 14 at a local bakery washing dishes.
0.3929209860966329		SimpleArgument(he,List([23, 25)))	Relation(gained experience in,List([26, 32), [33, 43), [63, 65)))	SpatialArgument(Rat 's at Grounds For Sculpture in Hamiltion,List([66, 110)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.4978219019954182		SimpleArgument(he,List([23, 25)))	Relation(gained experience at,List([26, 32), [33, 43), [44, 46)))	SpatialArgument(the Mansion Inn,List([47, 62)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.4978219019954182		SimpleArgument(he,List([23, 25)))	Relation(gained experience at,List([26, 32), [33, 43), [44, 46)))	SpatialArgument(the Mansion Inn in PA,List([47, 68)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.547338059826203		SimpleArgument(he,List([23, 25)))	Relation(gained experience Throughout,List([0, 10), [26, 32), [33, 43)))	SpatialArgument(high school,List([11, 22)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.4978219019954182		SimpleArgument(he,List([23, 25)))	Relation(gained experience at,List([26, 32), [33, 43), [44, 46)))	SpatialArgument(the Mansion Inn in New Hope,List([47, 74)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.45170382506656653		SimpleArgument(he,List([23, 25)))	Relation(gained,List([26, 32)))	SimpleArgument(experience,List([33, 43)))	Throughout high school he gained experience at the Mansion Inn in New Hope, PA and Rat's at Grounds For Sculpture in Hamiltion, NJ.
0.8571777395282005		SimpleArgument(Chad,List([19, 23)))	Relation(to work at,List([47, 54), [55, 57)))	SpatialArgument(restaurant Daniel,List([58, 75)))	After high school, Chad moved to New York City to work at restaurant Daniel.
0.8964816034508865		SimpleArgument(Chad,List([19, 23)))	Relation(moved to New York City After,List([0, 5), [24, 41), [42, 46)))	TemporalArgument(high school,List([6, 17)))	After high school, Chad moved to New York City to work at restaurant Daniel.
0.876543225140763		SimpleArgument(Chad,List([19, 23)))	Relation(moved to New York City to,List([24, 29), [30, 46), [47, 49)))	SimpleArgument(work at restaurant Daniel,List([50, 75)))	After high school, Chad moved to New York City to work at restaurant Daniel.
0.876543225140763		SimpleArgument(Chad,List([19, 23)))	Relation(moved to,List([24, 29), [30, 32)))	SimpleArgument(New York City,List([33, 46)))	After high school, Chad moved to New York City to work at restaurant Daniel.
0.8329899967105379		SimpleArgument(Chad,List([51, 55)))	Relation(to learn,List([85, 93)))	SimpleArgument(the modern techniques,List([94, 115)))	After forming a confidence with classical cooking, Chad moved onto Alinea in Chicago to learn the modern techniques.
0.8964816034508865		SimpleArgument(Chad,List([51, 55)))	Relation(moved onto Alinea After,List([0, 5), [56, 66), [67, 73)))	TemporalArgument(forming a confidence with classical cooking,List([6, 49)))	After forming a confidence with classical cooking, Chad moved onto Alinea in Chicago to learn the modern techniques.
0.7939138237950305		SimpleArgument(Chad,List([51, 55)))	Relation(moved onto Alinea to,List([56, 61), [62, 73), [85, 87)))	SimpleArgument(learn the modern techniques,List([88, 115)))	After forming a confidence with classical cooking, Chad moved onto Alinea in Chicago to learn the modern techniques.
0.876543225140763		SimpleArgument(Chad,List([51, 55)))	Relation(moved onto,List([56, 61), [62, 66)))	SimpleArgument(Alinea,List([67, 73)))	After forming a confidence with classical cooking, Chad moved onto Alinea in Chicago to learn the modern techniques.
0.45170382506656653		SimpleArgument(him,List([29, 32)))	Relation(to travel,List([33, 42)))	SimpleArgument(the world,List([43, 52)))	Chad's desire to grow pushed him to travel the world.
0.9216169339561846		SimpleArgument(Chad's desire,List([0, 13)))	Relation(pushed him to,List([22, 28), [29, 32), [33, 35)))	SimpleArgument(travel the world,List([36, 52)))	Chad's desire to grow pushed him to travel the world.
0.8645386818095685		SimpleArgument(Chad's desire,List([0, 13)))	Relation(pushed,List([22, 28)))	SimpleArgument(him,List([29, 32)))	Chad's desire to grow pushed him to travel the world.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(settled in,List([3, 10), [11, 13)))	SpatialArgument(Vietnam,List([14, 21)))	He settled in Vietnam.
0.28867503231177094		SimpleArgument(his wife,List([0, 8)))	Relation(opened Back in,List([9, 20), [39, 41)))	TemporalArgument(2010,List([42, 46)))	Chad and his wife opened Back Of The Bike Tours in 2010.
0.5759228702523534		SimpleArgument(Chad,List([0, 4)))	Relation(opened Back in,List([5, 16), [35, 37)))	TemporalArgument(2010,List([38, 42)))	Chad and his wife opened Back Of The Bike Tours in 2010.
0.9250606141558615		SimpleArgument(a tour company,List([26, 40)))	Relation(focused on,List([41, 48), [49, 51)))	SimpleArgument(showcasing Vietnamese Street Food,List([52, 85)))	Back Of The Bike Tours is a tour company focused on showcasing Vietnamese Street Food.
0.9642085744698567		SimpleArgument(Back Of The Bike Tours,List([0, 22)))	Relation(is,List([23, 25)))	SimpleArgument(a tour company focused on showcasing Vietnamese Street Food,List([26, 85)))	Back Of The Bike Tours is a tour company focused on showcasing Vietnamese Street Food.
0.9210233335200773		SimpleArgument(Thuy,List([8, 12)))	Relation(to move,List([21, 28)))	SimpleArgument(back to America,List([29, 44)))	In 2013 Chad and Thuy decided to move back to America.
