0.9572029669433457		SimpleArgument(Robert A. "Rob" Swofford,List([0, 24)))	Relation(grew up in,List([25, 32), [33, 35)))	SpatialArgument(Nassau Bay,List([36, 46)))	Robert A. "Rob" Swofford grew up in Nassau Bay, Texas.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(graduated from Clear Creek High School in,List([3, 12), [13, 41), [42, 44)))	TemporalArgument(1983,List([45, 49)))	He graduated from Clear Creek High School in 1983.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(Clear Creek High School,List([18, 41)))	He graduated from Clear Creek High School in 1983.
0.8497693332314062		SimpleArgument(Rob,List([65, 68)))	Relation(graduated from South Texas College of Law After,List([0, 5), [69, 106), [107, 110)))	TemporalArgument(receiving his undergraduate degree from Baylor University,List([6, 63)))	After receiving his undergraduate degree from Baylor University, Rob graduated from South Texas College of Law in May 1994.
0.876543225140763		SimpleArgument(Rob,List([65, 68)))	Relation(graduated from South Texas College of Law in,List([69, 78), [79, 110), [111, 113)))	TemporalArgument(May 1994,List([114, 122)))	After receiving his undergraduate degree from Baylor University, Rob graduated from South Texas College of Law in May 1994.
0.876543225140763		SimpleArgument(Rob,List([65, 68)))	Relation(graduated from,List([69, 78), [79, 83)))	SimpleArgument(South Texas College of Law,List([84, 110)))	After receiving his undergraduate degree from Baylor University, Rob graduated from South Texas College of Law in May 1994.
0.8245836932748777		SimpleArgument(Rob,List([31, 34)))	Relation(received numerous awards During,List([0, 6), [35, 52), [53, 59)))	TemporalArgument(his time in law school,List([7, 29)))	During his time in law school, Rob received numerous awards for his academics.
0.7620599808598616		SimpleArgument(Rob,List([31, 34)))	Relation(received numerous awards for,List([35, 43), [44, 59), [60, 63)))	SimpleArgument(his academics,List([64, 77)))	During his time in law school, Rob received numerous awards for his academics.
0.8550806581371961		SimpleArgument(Rob,List([31, 34)))	Relation(received,List([35, 43)))	SimpleArgument(numerous awards,List([44, 59)))	During his time in law school, Rob received numerous awards for his academics.
0.9929999709129333		SimpleArgument(Rob,List([0, 0)))	Relation(was named In,List([0, 0)))	SimpleArgument(2006,List(null))	In 2006, Rob was named one of Houston's Top Lawyers in the area of Criminal Defense.
0.8019920579143587		SimpleArgument(Rob,List([9, 12)))	Relation(was named one of Houston 's Top Lawyers in the area of Criminal Defense In,List([0, 16), [17, 75), [76, 83)))	TemporalArgument(2006,List([3, 7)))	In 2006, Rob was named one of Houston's Top Lawyers in the area of Criminal Defense.
