0.5		SimpleArgument(New Levels ( RNL ),List([6, 24)))	Relation([is] a company [of],List([41, 48)))	SimpleArgument(consultancy,List([29, 40)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.5		SimpleArgument(New Levels ( RNL ),List([6, 24)))	Relation([is],List([6, 24)))	SimpleArgument(a consultancy company,List([27, 48)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.9125462839307745		SimpleArgument(a consultancy company,List([27, 48)))	Relation(is based in,List([51, 59), [60, 62)))	SpatialArgument(Johannesburg,List([63, 75)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.5		SimpleArgument(New Levels ( RNL ),List([6, 24)))	Relation([is],List([6, 24)))	SimpleArgument(a training company,List([27, 45)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.9125462839307745		SimpleArgument(a training company,List([27, 45)))	Relation(is based in,List([48, 56), [57, 59)))	SpatialArgument(Johannesburg,List([60, 72)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.8225553370134596		SimpleArgument(RNL,List([0, 3)))	Relation(was created to,List([4, 15), [62, 64)))	SimpleArgument(encourage Administrative Assistants i.e.,List([65, 105)))	RNL was created in January 2013 by Dawn Williams, CAP-OM, MOS to encourage Administrative Assistants i.e.
0.8225553370134596		SimpleArgument(RNL,List([0, 3)))	Relation(was created by,List([4, 15), [32, 34)))	SimpleArgument(Dawn Williams, CAP-OM, MOS,List([35, 61)))	RNL was created in January 2013 by Dawn Williams, CAP-OM, MOS to encourage Administrative Assistants i.e.
0.876543225140763		SimpleArgument(RNL,List([0, 3)))	Relation(was created in,List([4, 15), [16, 18)))	TemporalArgument(January 2013,List([19, 31)))	RNL was created in January 2013 by Dawn Williams, CAP-OM, MOS to encourage Administrative Assistants i.e.
0.9539657812058997		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in the East,List([0, 82)))	Relation(to enhance their careers by,List([83, 93), [94, 107), [108, 110)))	SimpleArgument(doing continuous striving,List([111, 136)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9539657812058997		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in the East,List([0, 82)))	Relation(to enhance their careers by,List([83, 93), [94, 107), [108, 110)))	SimpleArgument(doing continuous learning,List([111, 136)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9183570633264637		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in the East,List([0, 82)))	Relation(to enhance,List([83, 93)))	SimpleArgument(their careers,List([94, 107)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9495310605407338		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in Africa,List([0, 80)))	Relation(to enhance their careers by,List([81, 91), [92, 105), [106, 108)))	SimpleArgument(doing continuous striving,List([109, 134)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9495310605407338		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in Africa,List([0, 80)))	Relation(to enhance their careers by,List([81, 91), [92, 105), [106, 108)))	SimpleArgument(doing continuous learning,List([109, 134)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9108126755952736		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , Office Managers , in Africa,List([0, 80)))	Relation(to enhance,List([81, 91)))	SimpleArgument(their careers,List([92, 105)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9539657812058997		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in the East,List([0, 79)))	Relation(to enhance their careers by,List([80, 90), [91, 104), [105, 107)))	SimpleArgument(doing continuous striving,List([108, 133)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9539657812058997		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in the East,List([0, 79)))	Relation(to enhance their careers by,List([80, 90), [91, 104), [105, 107)))	SimpleArgument(doing continuous learning,List([108, 133)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
