0.9340463819568752		SimpleArgument(Zhivka Klinkova,List([0, 15)))	Relation(is,List([52, 54)))	SimpleArgument(conductor,List([55, 64)))	Zhivka Klinkova (30 July 1924 - 23 December 2002) is a Bulgarian composer, pianist and conductor.
0.9340463819568752		SimpleArgument(Zhivka Klinkova,List([0, 15)))	Relation(is,List([52, 54)))	SimpleArgument(pianist,List([55, 62)))	Zhivka Klinkova (30 July 1924 - 23 December 2002) is a Bulgarian composer, pianist and conductor.
0.9340463819568752		SimpleArgument(Zhivka Klinkova,List([0, 15)))	Relation(is,List([52, 54)))	SimpleArgument(a Bulgarian composer,List([55, 75)))	Zhivka Klinkova (30 July 1924 - 23 December 2002) is a Bulgarian composer, pianist and conductor.
0.292827695956731	Context(She graduated,List([0, 13)))	SimpleArgument(She,List([0, 3)))	Relation(graduated from the Sofia Academy of Music after studying with Parashkev Hadjiev for,List([4, 13), [14, 22), [23, 39), [40, 45)))	TemporalArgument(composition for piano,List([98, 119)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.332563478582812	Context(She graduated,List([0, 13)))	SimpleArgument(She,List([0, 3)))	Relation(graduated from the Sofia Academy of Music after studying with,List([4, 13), [14, 22), [23, 28)))	SimpleArgument(Parashkev Hadjiev,List([76, 93)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.332563478582812		SimpleArgument(She,List([0, 3)))	Relation(graduated from the Sofia Academy of Music after,List([4, 13), [14, 45), [56, 61)))	TemporalArgument(studying with Parashkev Hadjiev for composition for piano,List([62, 119)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.18272787056513734		SimpleArgument(She,List([0, 3)))	Relation(graduated from the Sofia Academy of Music in,List([4, 13), [14, 45), [46, 48)))	TemporalArgument(1951,List([49, 53)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(graduated from,List([4, 13), [14, 18)))	SimpleArgument(the Sofia Academy of Music,List([19, 45)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(was born in,List([4, 12), [13, 15)))	SpatialArgument(Samokov,List([16, 23)))	She was born in Samokov, Bulgaria, and graduated from the Sofia Academy of Music in 1951, after studying with Parashkev Hadjiev for composition and Dimitar Nenov for piano.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(continued,List([4, 13)))	SimpleArgument(her studies,List([14, 25)))	She continued her studies with Rudolf Wagner-Régeny and Boris Blacher at the Berlin Hochschule für Musik.
0.22506131975927415		SimpleArgument(She,List([0, 3)))	Relation(worked as conductor of the Kutev Folkloric Philharmonica from,List([4, 10), [11, 60), [61, 65)))	TemporalArgument(1951 to 1960,List([66, 78)))	She worked as conductor of the Kutev Folkloric Philharmonica from 1951 to 1960, and composed works for the ensemble's repertoire.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(worked as,List([4, 10), [11, 13)))	SimpleArgument(conductor of the Kutev Folkloric Philharmonica,List([14, 60)))	She worked as conductor of the Kutev Folkloric Philharmonica from 1951 to 1960, and composed works for the ensemble's repertoire.
