0.9250606141558615		SimpleArgument(a minor planet,List([32, 46)))	Relation(orbiting,List([47, 55)))	SimpleArgument(the Sun,List([56, 63)))	508 Princetonia is an asteroid, a minor planet orbiting the Sun.
0.9436740204769645		SimpleArgument(508 Princetonia,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(an asteroid,List([19, 30)))	508 Princetonia is an asteroid, a minor planet orbiting the Sun.
0.5699038993321599		SimpleArgument(It,List([0, 2)))	Relation(was named,List([3, 12)))	SimpleArgument(Princetonia " for Princeton University in New Jersey in the United States,List([15, 88)))	It was discovered by Raymond Smith Dugan at Heidelberg, Germany in 1903 and named "Princetonia" for Princeton University in New Jersey in the United States.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was discovered in,List([3, 17), [65, 67)))	TemporalArgument(1903,List([68, 72)))	It was discovered by Raymond Smith Dugan at Heidelberg, Germany in 1903 and named "Princetonia" for Princeton University in New Jersey in the United States.
0.3929209860966329		SimpleArgument(It,List([0, 2)))	Relation(was discovered at,List([3, 17), [41, 43)))	SpatialArgument(Heidelberg,List([44, 54)))	It was discovered by Raymond Smith Dugan at Heidelberg, Germany in 1903 and named "Princetonia" for Princeton University in New Jersey in the United States.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was discovered by,List([3, 17), [18, 20)))	SimpleArgument(Raymond Smith Dugan,List([21, 40)))	It was discovered by Raymond Smith Dugan at Heidelberg, Germany in 1903 and named "Princetonia" for Princeton University in New Jersey in the United States.
0.9231320349505967		SimpleArgument(Dugan,List([0, 5)))	Relation(found it during,List([6, 11), [12, 14), [15, 21)))	TemporalArgument(his time at Königstuhl Observatory with Max Wolf in Heidelberg,List([22, 84)))	Dugan found it during his time at Königstuhl Observatory with Max Wolf in Heidelberg, Germany.
0.8615585111461579		SimpleArgument(Dugan,List([0, 5)))	Relation(found,List([6, 11)))	SimpleArgument(it,List([12, 14)))	Dugan found it during his time at Königstuhl Observatory with Max Wolf in Heidelberg, Germany.
0.547338059826203		SimpleArgument(he,List([12, 14)))	Relation(was working on his Ph.D. from Heidelberg University At,List([0, 18), [19, 55), [56, 66)))	TemporalArgument(the time,List([3, 11)))	At the time he was working on his Ph.D. from Heidelberg University.
0.3498441627223176		SimpleArgument(he,List([12, 14)))	Relation(was working on,List([15, 26), [27, 29)))	SimpleArgument(his Ph.D. from Heidelberg University,List([30, 66)))	At the time he was working on his Ph.D. from Heidelberg University.
0.9251282565798027		SimpleArgument(The asteroid,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(about 88 miles in diameter,List([16, 42)))	The asteroid is located in the outer areas of the main asteroid belt and is about 88 miles in diameter (140 km) according to data from IRAS, an infrared space observatory in the 1980s.
0.9030401971054747		SimpleArgument(The asteroid,List([0, 12)))	Relation(is located in,List([13, 23), [24, 26)))	SpatialArgument(the outer areas of the main asteroid belt,List([27, 68)))	The asteroid is located in the outer areas of the main asteroid belt and is about 88 miles in diameter (140 km) according to data from IRAS, an infrared space observatory in the 1980s.
