0.9445721975409912		SimpleArgument(June 1940,List([57, 66)))	Relation(was,List([68, 71)))	SimpleArgument(an English astronomer,List([72, 93)))	Alfred Fowler, CBE FRS (22 March 1868, in Yorkshire – 24 June 1940) was an English astronomer.
0.5		SimpleArgument(William Alfred Fowler,List([48, 69)))	Relation([is] astrophysicist [from],List([33, 47)))	SimpleArgument(United States,List([24, 32)))	Not to be confused with American astrophysicist William Alfred Fowler.
0.8433593594725145		SimpleArgument(London 's Normal School of Science,List([19, 53)))	Relation(was absorbed,List([62, 65), [72, 80)))	TemporalArgument(later,List([66, 71)))	He was born in Wilsden, Yorkshire and educated at London's Normal School of Science, which was later absorbed into Imperial College, London.
0.9250591228671154		SimpleArgument(London 's Normal School of Science,List([19, 53)))	Relation(was absorbed into,List([62, 65), [72, 80), [81, 85)))	SimpleArgument(Imperial College,List([86, 102)))	He was born in Wilsden, Yorkshire and educated at London's Normal School of Science, which was later absorbed into Imperial College, London.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was educated at,List([3, 15), [16, 18)))	SpatialArgument(London 's Normal School of Science,List([19, 53)))	He was born in Wilsden, Yorkshire and educated at London's Normal School of Science, which was later absorbed into Imperial College, London.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Wilsden,List([15, 22)))	He was born in Wilsden, Yorkshire and educated at London's Normal School of Science, which was later absorbed into Imperial College, London.
0.22598218974525264		SimpleArgument(He,List([0, 2)))	Relation(worked until,List([3, 9), [16, 21)))	TemporalArgument(his death,List([22, 31)))	He was appointed Instructor (later Assistant Professor) of Astrophysics at Imperial College and worked there until his death.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(worked,List([3, 9)))	SpatialArgument(there,List([10, 15)))	He was appointed Instructor (later Assistant Professor) of Astrophysics at Imperial College and worked there until his death.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(Instructor,List([17, 27)))	He was appointed Instructor (later Assistant Professor) of Astrophysics at Imperial College and worked there until his death.
0.886695286966665		SimpleArgument(He,List([0, 2)))	Relation(was an expert in,List([3, 19)))	SimpleArgument(spectroscopy,List([20, 32)))	He was an expert in spectroscopy, being one of the first to determine that the temperature of sunspots was cooler than that of surrounding regions.
0.19710908353723788		SimpleArgument(He,List([0, 2)))	Relation(being,List([34, 39)))	SimpleArgument(one of the first,List([40, 56)))	He was an expert in spectroscopy, being one of the first to determine that the temperature of sunspots was cooler than that of surrounding regions.
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(an expert in spectroscopy,List([7, 32)))	He was an expert in spectroscopy, being one of the first to determine that the temperature of sunspots was cooler than that of surrounding regions.
0.2554262218158773		SimpleArgument(his citation,List([60, 72)))	Relation(died in,List([85, 89), [109, 111)))	TemporalArgument(1940,List([112, 116)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.6420236436771103		SimpleArgument(his citation,List([60, 72)))	Relation(died in,List([85, 89), [90, 92)))	SpatialArgument(Ealing,List([93, 99)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was elected,List([3, 14)))	SimpleArgument(a Fellow of the Royal Society in 1910,List([15, 52)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.38089450366724514		SimpleArgument(Fowler,List([78, 84)))	Relation(was president of,List([85, 101)))	SimpleArgument(the Royal Astronomical Society,List([102, 132)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.9681838090774921		SimpleArgument(a Fellow of the Royal Society in 1910,List([15, 52)))	Relation(was,List([85, 88)))	SimpleArgument(president of the Royal Astronomical Society,List([89, 132)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.6796597830231682		SimpleArgument(his citation,List([60, 72)))	Relation(read,List([73, 77)))	SimpleArgument(Fowler,List([78, 84)))	He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
0.1948871917044894		SimpleArgument(He,List([0, 2)))	Relation(was elected,List([3, 14)))		He was elected a Fellow of the Royal Society in 1910, when his citation read Fowler was president of the Royal Astronomical Society from 1919 to 1921 and died in Ealing, London in 1940.
