0.886695286966665		SimpleArgument(George Heard Hamilton ( 1910-2004 ),List([0, 33)))	Relation(was Professor of,List([34, 50)))	SimpleArgument(art history,List([51, 62)))	George Heard Hamilton (1910-2004) was Professor of art history at Yale University, 1936-1966.
0.949419443712137		SimpleArgument(George Heard Hamilton,List([0, 21)))	Relation(was,List([34, 37)))	SimpleArgument(Professor of art history at Yale University,List([38, 81)))	George Heard Hamilton (1910-2004) was Professor of art history at Yale University, 1936-1966.
0.9324144673478683		SimpleArgument(Hamilton,List([0, 8)))	Relation(received his BA in,List([9, 17), [18, 24), [25, 27)))	SpatialArgument(an MA in History from Yale,List([28, 54)))	Hamilton was born in Pittsburgh and received his BA in English and an MA in History from Yale.
0.8821938819052391		SimpleArgument(Hamilton,List([0, 8)))	Relation(received,List([9, 17)))	SimpleArgument(his BA,List([18, 24)))	Hamilton was born in Pittsburgh and received his BA in English and an MA in History from Yale.
0.9324144673478683		SimpleArgument(Hamilton,List([0, 8)))	Relation(was born in,List([9, 17), [18, 20)))	SpatialArgument(Pittsburgh,List([21, 31)))	Hamilton was born in Pittsburgh and received his BA in English and an MA in History from Yale.
0.15939332484157967		SimpleArgument(he,List([0, 2)))	Relation(published his master 's thesis in,List([3, 12), [13, 33), [58, 60)))	TemporalArgument(1933,List([61, 65)))	His early specialism was the medieval world and he published his master's thesis on medieval manuscripts in 1933.
0.45170382506656653		SimpleArgument(he,List([0, 2)))	Relation(published his master 's thesis on,List([3, 12), [13, 33), [34, 36)))	SpatialArgument(medieval manuscripts,List([37, 57)))	His early specialism was the medieval world and he published his master's thesis on medieval manuscripts in 1933.
0.30899953469486874		SimpleArgument(he,List([0, 2)))	Relation(published,List([3, 12)))	SimpleArgument(his master 's thesis,List([13, 33)))	His early specialism was the medieval world and he published his master's thesis on medieval manuscripts in 1933.
0.7204007205331314		SimpleArgument(His early specialism,List([0, 20)))	Relation(was,List([21, 24)))	SimpleArgument(the medieval world,List([25, 43)))	His early specialism was the medieval world and he published his master's thesis on medieval manuscripts in 1933.
0.30899953469486874		SimpleArgument(he,List([87, 89)))	Relation(remained for,List([90, 98), [99, 102)))	SimpleArgument(the rest of his career,List([103, 125)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.4978219019954182		SimpleArgument(he,List([39, 41)))	Relation(joining,List([42, 49)))	SimpleArgument(the faculty of Yale University,List([50, 80)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(returned in,List([3, 11), [25, 27)))	TemporalArgument(1936,List([28, 32)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(returned to,List([3, 11), [12, 14)))	SimpleArgument(New Haven,List([15, 24)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(worked from,List([3, 9), [37, 41)))	SimpleArgument(1934,List([42, 46)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(worked at,List([3, 9), [10, 12)))	SpatialArgument(the Walters Art Gallery,List([13, 36)))	He worked at the Walters Art Gallery from 1934 but returned to New Haven in 1936 where he joining the faculty of Yale University where he remained for the rest of his career.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(completed a Ph.D in,List([3, 12), [13, 19), [33, 35)))	TemporalArgument(1942,List([36, 40)))	He completed a Ph.D on Delacroix in 1942.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(completed,List([3, 12)))	SimpleArgument(a Ph.D,List([13, 19)))	He completed a Ph.D on Delacroix in 1942.
0.9606193513644111		SimpleArgument(Hamilton,List([0, 8)))	Relation(had,List([9, 12)))	SimpleArgument(a wide range of appointments in the academic art world,List([13, 67)))	Hamilton had a wide range of appointments in the academic art world in addition to his position at Yale, including Slade professor at Cambridge University from 1971.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(married Polly Wiggin in,List([3, 10), [11, 23), [24, 26)))	TemporalArgument(1946,List([27, 31)))	He married Polly Wiggin in 1946.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(married,List([3, 10)))	SimpleArgument(Polly Wiggin,List([11, 23)))	He married Polly Wiggin in 1946.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	SpatialArgument(Williamstown,List([11, 23)))	He died in Williamstown, MA.
