0.9126241552108846		SimpleArgument(physical chemist,List([65, 81)))	Relation(was,List([86, 89)))	SimpleArgument(an authority on statistical mechanics,List([90, 127)))	Richard Chace Tolman (March 4, 1881 – September 5, 1948) was an American mathematical physicist and physical chemist who was an authority on statistical mechanics.
0.9397554176335701		SimpleArgument(Richard Chace Tolman,List([0, 20)))	Relation(was,List([61, 64)))	SimpleArgument(physical chemist who was an authority on statistical mechanics,List([65, 127)))	Richard Chace Tolman (March 4, 1881 – September 5, 1948) was an American mathematical physicist and physical chemist who was an authority on statistical mechanics.
0.2720380180387453		SimpleArgument(who,List([100, 103)))	Relation(was an authority on,List([104, 123)))	SimpleArgument(statistical mechanics,List([124, 145)))	Richard Chace Tolman (March 4, 1881 – September 5, 1948) was an American mathematical physicist and physical chemist who was an authority on statistical mechanics.
0.926856165049625		SimpleArgument(an American mathematical physicist,List([65, 99)))	Relation(was,List([104, 107)))	SimpleArgument(an authority on statistical mechanics,List([108, 145)))	Richard Chace Tolman (March 4, 1881 – September 5, 1948) was an American mathematical physicist and physical chemist who was an authority on statistical mechanics.
0.9850185073516146		SimpleArgument(Richard Chace Tolman ( March 4 , 1881 - September 5 , 1948,List([0, 58)))	Relation(was,List([61, 64)))	SimpleArgument(an American mathematical physicist who was an authority on statistical mechanics,List([65, 145)))	Richard Chace Tolman (March 4, 1881 – September 5, 1948) was an American mathematical physicist and physical chemist who was an authority on statistical mechanics.
0.4112251698053916		SimpleArgument(He,List([0, 2)))	Relation(made,List([8, 12)))	TemporalArgument(soon after Einstein's discovery of general relativity,List([75, 128)))	He also made important contributions to theoretical cosmology in the years soon after Einstein's discovery of general relativity.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(made,List([8, 12)))	SimpleArgument(important contributions to theoretical cosmology in the years,List([13, 74)))	He also made important contributions to theoretical cosmology in the years soon after Einstein's discovery of general relativity.
0.886695286966665		SimpleArgument(He,List([0, 2)))	Relation(was a professor of,List([3, 21)))	SimpleArgument(mathematical physics,List([22, 42)))	He was a professor of physical chemistry and mathematical physics at the California Institute of Technology (Caltech).
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a professor of mathematical physics at the California Institute of Technology,List([7, 84)))	He was a professor of physical chemistry and mathematical physics at the California Institute of Technology (Caltech).
0.886695286966665		SimpleArgument(He,List([0, 2)))	Relation(was a professor of,List([3, 21)))	SimpleArgument(physical chemistry,List([22, 40)))	He was a professor of physical chemistry and mathematical physics at the California Institute of Technology (Caltech).
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a professor of physical chemistry at the California Institute of Technology,List([7, 82)))	He was a professor of physical chemistry and mathematical physics at the California Institute of Technology (Caltech).
