0.9397554176335701		SimpleArgument(Gary Stanley Becker,List([0, 19)))	Relation(was,List([53, 56)))	SimpleArgument(an American economist,List([57, 78)))	Gary Stanley Becker (December 2, 1930 – May 3, 2014) was an American economist.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(professor of sociology at the Booth School of Business,List([7, 61)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.886695286966665		SimpleArgument(He,List([0, 2)))	Relation(was professor of,List([3, 19)))	SimpleArgument(sociology,List([20, 29)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(professor of sociology at the University of Chicago,List([7, 58)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(professor of economics at the Booth School of Business,List([7, 61)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.886695286966665		SimpleArgument(He,List([0, 2)))	Relation(was professor of,List([3, 19)))	SimpleArgument(economics,List([20, 29)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(professor of economics at the University of Chicago,List([7, 58)))	He was professor of economics and sociology at the University of Chicago and at the Booth School of Business.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(important contributions to the family economics branch of economics,List([8, 75)))	He made important contributions to the family economics branch of economics.
0.9432816123537144		SimpleArgument(Neoclassical analysis of family within the family economics,List([0, 59)))	Relation(is also called,List([60, 74)))	SimpleArgument(new home economics,List([75, 93)))	Neoclassical analysis of family within the family economics is also called new home economics.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(received the United States Presidential Medal of Freedom in,List([3, 11), [12, 59), [60, 62)))	TemporalArgument(2007,List([63, 67)))	He was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom in 2007.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(the United States Presidential Medal of Freedom,List([12, 59)))	He was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom in 2007.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(was awarded in,List([3, 14), [61, 63)))	TemporalArgument(1992,List([64, 68)))	He was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom in 2007.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was awarded,List([3, 14)))	SimpleArgument(the Nobel Memorial Prize in Economic Sciences,List([15, 60)))	He was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom in 2007.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a Jack R. Anderson senior fellow at the free - market - oriented Hoover Institution,List([7, 90)))	He was a Rose-Marie and Jack R. Anderson senior fellow at the free-market-oriented Hoover Institution, located at Stanford University.
0.9582240737806711		SimpleArgument(the free - market - oriented Hoover Institution,List([39, 86)))	Relation(located at,List([89, 96), [97, 99)))	SpatialArgument(Stanford University,List([100, 119)))	He was a Rose-Marie and Jack R. Anderson senior fellow at the free-market-oriented Hoover Institution, located at Stanford University.
