0.9527410621066101		SimpleArgument(Emerson Windy,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a West Coast hip hop recording artist from Oceanside,List([17, 69)))	Emerson Windy is a West Coast hip hop recording artist from Oceanside, California.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the founder , CEO of southern California,List([6, 46)))	He is the founder, President and CEO of southern California based, independent label Pearl Harbor Entertainment.
0.6981802672629641		SimpleArgument(the founder,List([6, 17)))	Relation(based,List([53, 58)))		He is the founder, President and CEO of southern California based, independent label Pearl Harbor Entertainment.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the founder , President of southern California based,List([6, 58)))	He is the founder, President and CEO of southern California based, independent label Pearl Harbor Entertainment.
0.9570872704623956		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released his first single " Peace Pipe In,List([0, 2), [28, 61), [62, 66)))	TemporalArgument(May 2014,List([3, 11)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.7440220930148851		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released his first single " Peace Pipe on,List([28, 36), [37, 66), [69, 71)))	SpatialArgument(WorldStarHipHop.com,List([72, 91)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.8918717465970578		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released,List([28, 36)))	SimpleArgument(his first single " Peace Pipe,List([37, 66)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.9570872704623956		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released his debut project In,List([0, 2), [28, 46), [47, 54)))	TemporalArgument(May 2014,List([3, 11)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.7440220930148851		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released his debut project on,List([28, 36), [37, 54), [65, 67)))	SpatialArgument(Datpiff.com,List([68, 79)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.8726869446304376		SimpleArgument(Emerson Windy,List([14, 27)))	Relation(released,List([28, 36)))	SimpleArgument(his debut project,List([37, 54)))	In May 2014, Emerson Windy released his debut project Herojuana on Datpiff.com and his first single "Peace Pipe" on WorldStarHipHop.com
0.8578787223192438		SimpleArgument(Windy,List([30, 35)))	Relation(worked on,List([36, 42), [64, 66)))	SimpleArgument(a remix of "Come Get It" feat Pusha T & P Money (Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers,List([67, 216)))	Expanding his reach overseas, Windy worked with S.K.I.T.Z Beatz on a remix of "Come Get It" feat Pusha T & P Money (Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers.
