0.9250606141558615		SimpleArgument(an angel investor,List([17, 34)))	Relation(based in,List([35, 40), [41, 43)))	SpatialArgument(Hyderabad,List([44, 53)))	Srini Koppolu is the CEO of Veooz and an angel investor based in Hyderabad, India.
0.9527410621066101		SimpleArgument(Srini Koppolu,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(an angel investor based in Hyderabad , India,List([17, 61)))	Srini Koppolu is the CEO of Veooz and an angel investor based in Hyderabad, India.
0.8847999636040884		SimpleArgument(Srini Koppolu,List([0, 13)))	Relation(is the CEO of,List([14, 27)))	SimpleArgument(Veooz,List([28, 33)))	Srini Koppolu is the CEO of Veooz and an angel investor based in Hyderabad, India.
0.9527410621066101		SimpleArgument(Srini Koppolu,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(the CEO of Veooz,List([17, 33)))	Srini Koppolu is the CEO of Veooz and an angel investor based in Hyderabad, India.
0.3018651855507195		SimpleArgument(he,List([16, 18)))	Relation(was the Managing a Corporate Vice President at Microsoft,List([19, 22), [23, 75)))	TemporalArgument(Prior to this,List([0, 13)))	Prior to this, he was the Managing Director of Microsoft's India Development Center in Hyderabad and a Corporate Vice President at Microsoft.
0.5680679595514976		SimpleArgument(he,List([16, 18)))	Relation(was,List([19, 22)))	SimpleArgument(the Managing a Corporate Vice President at Microsoft,List([23, 75)))	Prior to this, he was the Managing Director of Microsoft's India Development Center in Hyderabad and a Corporate Vice President at Microsoft.
0.36453221407562825		SimpleArgument(he,List([16, 18)))	Relation(was the Managing Director of Microsoft 's India Development Center in Hyderabad,List([19, 22), [23, 98)))	TemporalArgument(Prior to this,List([0, 13)))	Prior to this, he was the Managing Director of Microsoft's India Development Center in Hyderabad and a Corporate Vice President at Microsoft.
0.6783685094789625		SimpleArgument(he,List([16, 18)))	Relation(was,List([19, 22)))	SimpleArgument(the Managing Director of Microsoft 's India Development Center in Hyderabad,List([23, 98)))	Prior to this, he was the Managing Director of Microsoft's India Development Center in Hyderabad and a Corporate Vice President at Microsoft.
0.3853208301752743		SimpleArgument(Course,List([82, 88)))	Relation([is] Undergraduate [of],List([68, 81)))	SimpleArgument(him,List([64, 67)))	He is from Koppole near to Ongole Prakasam District Andhra Pradesh and he completed his Undergraduate Sarma Degree College Ongole.Till his Undergraduate Course he studied in Ongole.
0.3853208301752743		SimpleArgument(Sarma Degree College Ongole.Till,List([31, 63)))	Relation([is] completed Undergraduate [of],List([17, 30)))	SimpleArgument(him,List([13, 16)))	He is from Koppole near to Ongole Prakasam District Andhra Pradesh and he completed his Undergraduate Sarma Degree College Ongole.Till his Undergraduate Course he studied in Ongole.
0.7281506520491382		SimpleArgument(his Undergraduate Course,List([64, 88)))	Relation(studied in,List([92, 99), [100, 102)))	SpatialArgument(Ongole,List([103, 109)))	He is from Koppole near to Ongole Prakasam District Andhra Pradesh and he completed his Undergraduate Sarma Degree College Ongole.Till his Undergraduate Course he studied in Ongole.
0.3498441627223176		SimpleArgument(he,List([0, 2)))	Relation(completed,List([3, 12)))	SimpleArgument(his Undergraduate Sarma Degree College Ongole.Till,List([13, 63)))	He is from Koppole near to Ongole Prakasam District Andhra Pradesh and he completed his Undergraduate Sarma Degree College Ongole.Till his Undergraduate Course he studied in Ongole.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is from,List([3, 5), [6, 10)))	SimpleArgument(Koppole near to Ongole Prakasam District Andhra Pradesh,List([11, 66)))	He is from Koppole near to Ongole Prakasam District Andhra Pradesh and he completed his Undergraduate Sarma Degree College Ongole.Till his Undergraduate Course he studied in Ongole.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(worked on,List([3, 9), [10, 12)))	SimpleArgument(various first generation products,List([13, 46)))	He joined Microsoft in 1989 as a software engineer and worked on various first generation products.
0.3497525988439521		SimpleArgument(He,List([0, 2)))	Relation(joined Microsoft as,List([3, 9), [10, 19), [28, 30)))	SimpleArgument(a software engineer,List([31, 50)))	He joined Microsoft in 1989 as a software engineer and worked on various first generation products.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(joined Microsoft in,List([3, 9), [10, 19), [20, 22)))	TemporalArgument(1989,List([23, 27)))	He joined Microsoft in 1989 as a software engineer and worked on various first generation products.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(joined,List([3, 9)))	SimpleArgument(Microsoft,List([10, 19)))	He joined Microsoft in 1989 as a software engineer and worked on various first generation products.
0.44251022175651566		SimpleArgument(He,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(what eventually left Microsoft on September 24,List([11, 57)))	He started what eventually became Microsoft's largest development center outside Redmond in 1998 and left Microsoft on September 24, 2010.
0.5600415811619095		SimpleArgument(He,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(what eventually became Microsoft 's largest development center outside Redmond in 1998,List([11, 97)))	He started what eventually became Microsoft's largest development center outside Redmond in 1998 and left Microsoft on September 24, 2010.
0.8847999636040884		SimpleArgument(Koppolu,List([0, 7)))	Relation(is CEO of,List([8, 17)))	SimpleArgument(the news aggregation website Veooz,List([18, 52)))	Koppolu is CEO of the news aggregation website Veooz.
0.9481947648689547		SimpleArgument(Koppolu,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(CEO of the news aggregation website,List([11, 46)))	Koppolu is CEO of the news aggregation website Veooz.
