0.9397554176335701		SimpleArgument(born August 8,List([1, 14)))	Relation(is,List([22, 24)))	SimpleArgument(an American businesswoman,List([25, 50)))	(born August 8, 1955) is an American businesswoman.
0.5229421046090251		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(the Chief Executive Officer of BET,List([17, 51)))	She is currently the Chairman and Chief Executive Officer of BET, the parent company for Black Entertainment Television.
0.2724783810037946		SimpleArgument(She,List([0, 3)))	Relation(is the Chief Executive Officer of BET,List([4, 6), [17, 51)))	TemporalArgument(currently,List([7, 16)))	She is currently the Chairman and Chief Executive Officer of BET, the parent company for Black Entertainment Television.
0.38089450366724514		SimpleArgument(BET,List([33, 36)))	Relation([is] the parent company for,List([39, 61)))	SimpleArgument(Black Entertainment Television,List([62, 92)))	She is currently the Chairman and Chief Executive Officer of BET, the parent company for Black Entertainment Television.
0.5229421046090251		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(the Chairman of BET,List([17, 36)))	She is currently the Chairman and Chief Executive Officer of BET, the parent company for Black Entertainment Television.
0.22015391053105568		SimpleArgument(She,List([0, 3)))	Relation(is the Chairman of BET,List([4, 6), [17, 36)))	TemporalArgument(currently,List([7, 16)))	She is currently the Chairman and Chief Executive Officer of BET, the parent company for Black Entertainment Television.
0.8847999636040884		SimpleArgument(She,List([0, 3)))	Relation(is the mother of,List([4, 20)))	SimpleArgument(two . Lee,List([21, 30)))	She is the mother of two. Lee has sat on the board of directors for a number of companies/organizations, including the National Cable & Telecommunications Association the Ad Council, and the National Cable Television Association.
0.4667063855863067	Context(Lee has sat,List([27, 38)))	SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(the mother of two,List([7, 24)))	She is the mother of two. Lee has sat on the board of directors for a number of companies/organizations, including the National Cable & Telecommunications Association the Ad Council, and the National Cable Television Association.
0.9017692064117712		SimpleArgument(Lee,List([27, 30)))	Relation(has sat on,List([31, 38), [39, 41)))	SimpleArgument(the board of directors,List([42, 64)))	She is the mother of two. Lee has sat on the board of directors for a number of companies/organizations, including the National Cable & Telecommunications Association the Ad Council, and the National Cable Television Association.
0.8962260539175418		SimpleArgument(Debra Lee,List([0, 9)))	Relation(is named one of the " 100 Most Powerful Women in Entertainment due,List([10, 18), [19, 71), [99, 102)))	SimpleArgument(to her many achievements in her 25-plus year career at BET,List([103, 161)))	Debra Lee is named one of the "100 Most Powerful Women in Entertainment" by The Hollywood Reporter due to her many achievements in her 25-plus year career at BET.
0.9084353254608957		SimpleArgument(Debra Lee,List([0, 9)))	Relation(is named one of the " 100 Most Powerful Women in Entertainment by,List([10, 18), [19, 71), [73, 75)))	SimpleArgument(The Hollywood Reporter,List([76, 98)))	Debra Lee is named one of the "100 Most Powerful Women in Entertainment" by The Hollywood Reporter due to her many achievements in her 25-plus year career at BET.
0.9605824069728295		SimpleArgument(Debra Lee,List([0, 9)))	Relation(is named,List([10, 18)))	SimpleArgument(one of the "100 Most Powerful Women in Entertainment,List([19, 71)))	Debra Lee is named one of the "100 Most Powerful Women in Entertainment" by The Hollywood Reporter due to her many achievements in her 25-plus year career at BET.
