0.8847999636040884		SimpleArgument(Margaret Cavendish,List([0, 18)))	Relation([is] Duchess of,List([20, 30)))	SimpleArgument(Newcastle -,List([31, 41)))	Margaret Cavendish, Duchess of Newcastle-upon-Tyne
0.9331430461209421		SimpleArgument(Newcastle - upon - Tyne,List([0, 23)))	Relation(was,List([52, 55)))	SimpleArgument(a scientist,List([56, 67)))	Margaret Cavendish, Duchess of Newcastle-upon-Tyne (1623 – 15 December 1673) was an English aristocrat, a prolific writer, and a scientist.
0.9331430461209421		SimpleArgument(Newcastle - upon - Tyne,List([0, 23)))	Relation(was,List([52, 55)))	SimpleArgument(a prolific writer,List([56, 73)))	Margaret Cavendish, Duchess of Newcastle-upon-Tyne (1623 – 15 December 1673) was an English aristocrat, a prolific writer, and a scientist.
0.943804355250466		SimpleArgument(Newcastle - upon - Tyne,List([0, 23)))	Relation(was,List([52, 55)))	SimpleArgument(an English aristocrat,List([56, 77)))	Margaret Cavendish, Duchess of Newcastle-upon-Tyne (1623 – 15 December 1673) was an English aristocrat, a prolific writer, and a scientist.
0.9449486126097173		SimpleArgument(Sir John Sir Charles Lucas,List([73, 99)))	Relation(owned,List([106, 111)))	SimpleArgument(the manor of St. John 's Abbey in Colchester,List([112, 156)))	Born Margaret Lucas, she was the youngest sister of prominent royalists Sir John Lucas and Sir Charles Lucas, who owned the manor of St. John's Abbey in Colchester.
0.5222094630377523		SimpleArgument(she,List([22, 25)))	Relation(was,List([26, 29)))	SimpleArgument(the youngest sister of prominent royalists,List([30, 72)))	Born Margaret Lucas, she was the youngest sister of prominent royalists Sir John Lucas and Sir Charles Lucas, who owned the manor of St. John's Abbey in Colchester.
0.4441583978729975	Context(She travelled,List([0, 13)))	SimpleArgument(She,List([0, 3)))	Relation(travelled living for,List([4, 13), [46, 52), [53, 56)))	TemporalArgument(a time at the court of the young King Louis XIV,List([57, 104)))	She became an attendant of Queen Henrietta Maria and travelled with her into exile in France, living for a time at the court of the young King Louis XIV.
0.332563478582812		SimpleArgument(She,List([0, 3)))	Relation(travelled into,List([4, 13), [23, 27)))	SimpleArgument(exile in France,List([28, 43)))	She became an attendant of Queen Henrietta Maria and travelled with her into exile in France, living for a time at the court of the young King Louis XIV.
0.2507300406324104		SimpleArgument(She,List([0, 3)))	Relation(travelled into exile in France with,List([4, 13), [14, 36), [37, 43)))	SimpleArgument(her,List([19, 22)))	She became an attendant of Queen Henrietta Maria and travelled with her into exile in France, living for a time at the court of the young King Louis XIV.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(became,List([4, 10)))	SimpleArgument(an attendant of Queen Henrietta Maria,List([11, 48)))	She became an attendant of Queen Henrietta Maria and travelled with her into exile in France, living for a time at the court of the young King Louis XIV.
0.5222094630377523		SimpleArgument(he,List([95, 97)))	Relation(was,List([98, 101)))	SimpleArgument(a marquess,List([102, 112)))	She became the second wife of William Cavendish, 1st Duke of Newcastle-upon-Tyne in 1645, when he was a marquess.
0.27151678565896326		SimpleArgument(She,List([0, 3)))	Relation(became the second wife of William Cavendish,List([4, 10), [11, 47)))	TemporalArgument(when he was a marquess,List([90, 112)))	She became the second wife of William Cavendish, 1st Duke of Newcastle-upon-Tyne in 1645, when he was a marquess.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(became,List([4, 10)))	SimpleArgument(the second wife of William Cavendish,List([11, 47)))	She became the second wife of William Cavendish, 1st Duke of Newcastle-upon-Tyne in 1645, when he was a marquess.
0.9385482820822947		SimpleArgument(most women writers,List([112, 130)))	Relation(published anonymously,List([131, 152)))	TemporalArgument(a time,List([100, 106)))	Cavendish was a poet, philosopher, writer of prose romances, essayist, and playwright who published under her own name at a time when most women writers published anonymously.
0.8371375011096484		SimpleArgument(prose playwright,List([47, 63)))	Relation(published at,List([68, 77), [97, 99)))	TemporalArgument(a time,List([100, 106)))	Cavendish was a poet, philosopher, writer of prose romances, essayist, and playwright who published under her own name at a time when most women writers published anonymously.
