0.9397554176335701		SimpleArgument(Bruce Charles Heezen,List([0, 20)))	Relation(was,List([64, 67)))	SimpleArgument(an American geologist,List([68, 89)))	Bruce Charles Heezen (HAY-zen) (April 11, 1924 – June 21, 1977) was an American geologist.
0.292827695956731	Context(He worked,List([0, 9)))	SimpleArgument(He,List([0, 2)))	Relation(worked to map the Mid-Atlantic Ridge in,List([3, 9), [77, 83), [84, 106), [107, 109)))	TemporalArgument(the 1950s,List([110, 119)))	He worked with oceanographic cartographer Marie Tharp at Columbia University to map the Mid-Atlantic Ridge in the 1950s.
0.332563478582812	Context(He worked,List([0, 9)))	SimpleArgument(He,List([0, 2)))	Relation(worked to map,List([3, 9), [77, 83)))	SimpleArgument(the Mid-Atlantic Ridge,List([84, 106)))	He worked with oceanographic cartographer Marie Tharp at Columbia University to map the Mid-Atlantic Ridge in the 1950s.
0.332563478582812		SimpleArgument(He,List([0, 2)))	Relation(worked to,List([3, 9), [77, 79)))	SimpleArgument(map the Mid-Atlantic Ridge in the 1950s,List([80, 119)))	He worked with oceanographic cartographer Marie Tharp at Columbia University to map the Mid-Atlantic Ridge in the 1950s.
0.4258913882219478		SimpleArgument(He,List([0, 2)))	Relation(worked to map the Mid-Atlantic Ridge in the 1950s with,List([3, 9), [10, 113), [114, 119)))	SimpleArgument(oceanographic cartographer Marie Tharp,List([15, 53)))	He worked with oceanographic cartographer Marie Tharp at Columbia University to map the Mid-Atlantic Ridge in the 1950s.
0.9324144673478683		SimpleArgument(Heezen,List([0, 6)))	Relation(was born in,List([7, 15), [16, 18)))	SpatialArgument(Vinton,List([19, 25)))	Heezen was born in Vinton, Iowa.
0.22506131975927415		SimpleArgument(he,List([78, 80)))	Relation(graduated from high school in,List([81, 90), [91, 107), [108, 110)))	TemporalArgument(1942,List([111, 115)))	An only child, he moved at age six with his parents to Muscatine, Iowa, where he graduated from high school in 1942.
0.45170382506656653		SimpleArgument(he,List([78, 80)))	Relation(graduated from,List([81, 90), [91, 95)))	SimpleArgument(high school,List([96, 107)))	An only child, he moved at age six with his parents to Muscatine, Iowa, where he graduated from high school in 1942.
0.44469037867649003		SimpleArgument(he,List([15, 17)))	Relation(moved to Muscatine,List([18, 23), [52, 64)))	TemporalArgument(An only child,List([0, 13)))	An only child, he moved at age six with his parents to Muscatine, Iowa, where he graduated from high school in 1942.
0.3929209860966329		SimpleArgument(he,List([15, 17)))	Relation(moved to,List([18, 23), [52, 54)))	SimpleArgument(Muscatine,List([55, 64)))	An only child, he moved at age six with his parents to Muscatine, Iowa, where he graduated from high school in 1942.
0.44469037867649003		SimpleArgument(he,List([15, 17)))	Relation(moved to Muscatine at,List([18, 23), [24, 54), [55, 64)))	TemporalArgument(age six,List([27, 34)))	An only child, he moved at age six with his parents to Muscatine, Iowa, where he graduated from high school in 1942.
