0.816575697747956		SimpleArgument(Nancy Navarro,List([0, 13)))	Relation(has been a member of the Montgomery County Council since,List([14, 22), [23, 64), [65, 70)))	TemporalArgument(2009,List([71, 75)))	Nancy Navarro has been a member of the Montgomery County Council since 2009.
0.9382554258342916		SimpleArgument(Nancy Navarro,List([0, 13)))	Relation(has been,List([14, 22)))	SimpleArgument(a member of the Montgomery County Council,List([23, 64)))	Nancy Navarro has been a member of the Montgomery County Council since 2009.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of White Oak,List([43, 61)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Wheaton,List([43, 59)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Spencerville,List([43, 64)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Silver Spring,List([43, 65)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Sandy Spring,List([43, 64)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Olney,List([43, 57)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Fairland,List([43, 60)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Derwood,List([43, 59)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Colesville,List([43, 62)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Clovery,List([43, 59)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Calverton,List([43, 61)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Burtonsville,List([43, 64)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.9277724913494431		SimpleArgument(District 4,List([15, 25)))	Relation(includes,List([34, 42)))	SimpleArgument(parts of Aspen Hill,List([43, 62)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(represents,List([4, 14)))	SimpleArgument(District 4,List([15, 25)))	She represents District 4, which includes parts of Aspen Hill, Burtonsville, Calverton, Clovery, Colesville, Derwood, Fairland, Olney, Sandy Spring, Silver Spring, Spencerville, Wheaton, and White Oak.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(lives in,List([4, 9), [10, 12)))	SpatialArgument(Colesville,List([13, 23)))	She lives in Colesville, Maryland.
