0.9436740204769645		SimpleArgument(Ben Daly,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(an Australian former rugby union player,List([12, 51)))	Ben Daly is an Australian former rugby union player.
0.46321337686369213		SimpleArgument(He,List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(his club rugby for various clubs including Newport Gwent Dragons,List([10, 74)))	He played his club rugby for various clubs including Glasgow Warriors, Worcester Warriors and Newport Gwent Dragons.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played his club rugby for,List([3, 9), [10, 24), [25, 28)))	SimpleArgument(various clubs including Worcester Warriors,List([29, 71)))	He played his club rugby for various clubs including Glasgow Warriors, Worcester Warriors and Newport Gwent Dragons.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played his club rugby for,List([3, 9), [10, 24), [25, 28)))	SimpleArgument(various clubs including Glasgow Warriors,List([29, 69)))	He played his club rugby for various clubs including Glasgow Warriors, Worcester Warriors and Newport Gwent Dragons.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(his club rugby,List([10, 24)))	He played his club rugby for various clubs including Glasgow Warriors, Worcester Warriors and Newport Gwent Dragons.
0.3880890333449538	Context(he decided,List([121, 131)))	SimpleArgument(he,List([121, 123)))	Relation(decided to move to Scotland to play,List([124, 131), [132, 139)))	SimpleArgument(rugby,List([160, 165)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.4328394458044063		SimpleArgument(he,List([121, 123)))	Relation(decided to,List([124, 131), [132, 134)))	SimpleArgument(move to Scotland,List([135, 151)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.41051436014453063		SimpleArgument(he,List([121, 123)))	Relation(to move to Scotland to,List([132, 139), [140, 151), [152, 154)))	SimpleArgument(play rugby,List([155, 165)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.45592395356914683		SimpleArgument(he,List([121, 123)))	Relation(to move to,List([132, 139), [140, 142)))	SimpleArgument(Scotland,List([143, 151)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.8821938819052391		SimpleArgument(Daly,List([53, 57)))	Relation(had a training contract with the New South Wales Waratahs,List([58, 61), [62, 115)))	TemporalArgument(when he decided to move to Scotland,List([116, 151)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.9481947648689547		SimpleArgument(Daly,List([53, 57)))	Relation(had,List([58, 61)))	SimpleArgument(a training contract with the New South Wales Waratahs,List([62, 115)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.40640256215258874		SimpleArgument(both his parents,List([22, 38)))	Relation(are,List([39, 42)))	SimpleArgument(Scottish,List([43, 51)))	Scottish-Qualified as both his parents are Scottish, Daly had a training contract with the New South Wales Waratahs when he decided to move to Scotland to play rugby, in the home city of his parents.
0.332563478582812	Context(He signed,List([0, 9)))	SimpleArgument(He,List([0, 2)))	Relation(signed for Glasgow Warriors making in,List([3, 9), [10, 13), [14, 21)))	SpatialArgument(the pre-season match against Harlequins,List([59, 98)))	He signed for Glasgow Warriors in 2002 making his debut in the pre-season match against Harlequins.
0.183516546672029	Context(He signed,List([0, 9)))	SimpleArgument(He,List([0, 2)))	Relation(signed for Glasgow Warriors making,List([3, 9), [10, 13)))	SimpleArgument(his debut,List([46, 55)))	He signed for Glasgow Warriors in 2002 making his debut in the pre-season match against Harlequins.
0.18272787056513734		SimpleArgument(He,List([0, 2)))	Relation(signed for Glasgow Warriors in,List([3, 9), [10, 30), [31, 33)))	TemporalArgument(2002,List([34, 38)))	He signed for Glasgow Warriors in 2002 making his debut in the pre-season match against Harlequins.
0.4328394458044063		SimpleArgument(He,List([0, 2)))	Relation(signed for,List([3, 9), [10, 13)))	SimpleArgument(Glasgow Warriors,List([14, 30)))	He signed for Glasgow Warriors in 2002 making his debut in the pre-season match against Harlequins.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(played 4 matches in,List([3, 9), [10, 19), [72, 74)))	SpatialArgument(the Heineken Cup,List([75, 91)))	He played 4 matches in the Celtic League in the 2002-03 season,2 in the 2002-03 Scottish Inter-District Championship and 1 in the Heineken Cup.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(played 4 matches in,List([3, 9), [10, 19), [67, 69)))	TemporalArgument(1,List({70}))	He played 4 matches in the Celtic League in the 2002-03 season,2 in the 2002-03 Scottish Inter-District Championship and 1 in the Heineken Cup.
0.3497525988439521		SimpleArgument(He,List([0, 2)))	Relation(played 4 matches in,List([3, 9), [10, 19), [41, 43)))	TemporalArgument(the 2002-03 season,List([44, 62)))	He played 4 matches in the Celtic League in the 2002-03 season,2 in the 2002-03 Scottish Inter-District Championship and 1 in the Heineken Cup.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played 4 matches in,List([3, 9), [10, 19), [20, 22)))	SpatialArgument(the Celtic League,List([23, 40)))	He played 4 matches in the Celtic League in the 2002-03 season,2 in the 2002-03 Scottish Inter-District Championship and 1 in the Heineken Cup.
