0.9729999899864197		SimpleArgument(We,List([0, 0)))	Relation(are,List([0, 0)))	SimpleArgument(12000 square foot facility,List(null))	We are a 12,000 Square foot facility.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a 12,000 Square foot facility,List([7, 36)))	We are a 12,000 Square foot facility.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(the latest in fitness equipment,List([9, 40)))	We offer the latest in health and fitness equipment.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(the latest in health,List([9, 29)))	We offer the latest in health and fitness equipment.
0.8237474075914968		SimpleArgument(FREE Personal Training,List([9, 31)))	Relation(to set up on,List([32, 38), [43, 45), [46, 48)))	SimpleArgument(a workout program,List([49, 66)))	We offer FREE Personal Training to set you up on a workout program.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(FREE Personal Training,List([9, 31)))	We offer FREE Personal Training to set you up on a workout program.
0.1770000010728836		SimpleArgument(USA GYM,List([0, 0)))	Relation(has Life Fitness Treadmills of,List([0, 0)))	SimpleArgument(8 9 bicycles,List(null))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.1770000010728836		SimpleArgument(USA GYM,List([0, 0)))	Relation(has Life Fitness Treadmills of,List([0, 0)))	SimpleArgument(8 life fitness ellipticals,List(null))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.1770000010728836		SimpleArgument(USA GYM,List([0, 0)))	Relation(has Life Fitness Treadmills of,List([0, 0)))	SimpleArgument(8 precor,List(null))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.515999972820282		SimpleArgument(USA GYM,List([0, 0)))	Relation(has [number of] Life Fitness Treadmills,List([0, 0)))	SimpleArgument(12,List(null))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.9990000128746033		SimpleArgument(USA GYM,List([0, 0)))	Relation(has,List([0, 0)))	SimpleArgument(12 life fitness treadmills,List(null))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.9120890140090938		SimpleArgument(USA GYM,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(12 Life Fitness Treadmills,List([12, 38)))	USA GYM has 12 Life Fitness Treadmills, 8 Precor and Life Fitness Ellipticals, 9 Bicycles(recumbent, upright, and Spin), and Stairmaster Stairclimbers.
0.7247673620527345		SimpleArgument(Our Nautilus room,List([0, 17)))	Relation(features,List([18, 26)))	SimpleArgument(27 different machines,List([27, 48)))	Our Nautilus room features 27 different machines.
0.46321337686369213		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(a separate Women 's ONLY Section with its own weight machines,List([8, 69)))	We have a separate Women's ONLY Section with its own weight machines, Life Fitness and Precor Cardio and hand weights.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(a separate Women 's ONLY Section with hand weights,List([8, 58)))	We have a separate Women's ONLY Section with its own weight machines, Life Fitness and Precor Cardio and hand weights.
0.9729999899864197		SimpleArgument(The Free Weight area,List([0, 0)))	Relation(is,List([0, 0)))	SimpleArgument(3200 sq ft,List(null))	The Free Weight area is 3,200 sq ft...
0.9531084046451801		SimpleArgument(The Free Weight area,List([0, 20)))	Relation(is,List([21, 23)))	SimpleArgument(3,200 sq,List([24, 32)))	The Free Weight area is 3,200 sq ft...
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(features,List([3, 11)))	SimpleArgument(Cybex Equipment,List([12, 27)))	It features Hammer Strength, Body Masters, Free Motion, and Cybex Equipment.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(features,List([3, 11)))	SimpleArgument(Free Motion,List([12, 23)))	It features Hammer Strength, Body Masters, Free Motion, and Cybex Equipment.
0.45170382506656653		SimpleArgument(It,List([0, 2)))	Relation(features,List([3, 11)))	SimpleArgument(Body Masters,List([12, 24)))	It features Hammer Strength, Body Masters, Free Motion, and Cybex Equipment.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(features,List([3, 11)))	SimpleArgument(Hammer Strength,List([12, 27)))	It features Hammer Strength, Body Masters, Free Motion, and Cybex Equipment.
0.9030401971054747		SimpleArgument(The dumbells,List([0, 12)))	Relation(range from,List([13, 18), [19, 23)))	SimpleArgument(3lbs up to 150 lbs,List([24, 42)))	The dumbells range from 3lbs up to 150 lbs.
0.6582659227599074		SimpleArgument(you,List([3, 6)))	Relation(are into,List([7, 10), [11, 15)))	SimpleArgument(Group Fitness,List([16, 29)))	If you are into Group Fitness try one of our many Spinning, Step, Body Sculpting, Yoga, or FIT classes(cross Training Circuit).
0.7005288659799959		SimpleArgument(your workout,List([6, 18)))	Relation(hit,List([19, 22)))	SimpleArgument(the sauna,List([23, 32)))	After your workout, you can relax and take a shower, a steam bath or hit the sauna.
0.5605015408062679		SimpleArgument(you,List([21, 24)))	Relation(can relax After,List([0, 28), [29, 34)))	TemporalArgument(your workout,List([6, 18)))	After your workout, you can relax and take a shower, a steam bath or hit the sauna.
0.8034186648553394		SimpleArgument(a Smoothie bar,List([14, 28)))	Relation(called,List([29, 35)))		We also offer a fruit and Smoothie bar called I fit.
0.45592395356914683		SimpleArgument(We,List([0, 2)))	Relation(offer,List([8, 13)))	SimpleArgument(a Smoothie bar,List([14, 28)))	We also offer a fruit and Smoothie bar called I fit.
0.2430782868395426		SimpleArgument(I,List({33}))	Relation(fit,List([35, 38)))		We also offer a fruit and Smoothie bar called I fit.
0.7508836390842847		SimpleArgument(a fruit bar,List([14, 25)))	Relation(called,List([26, 32)))		We also offer a fruit and Smoothie bar called I fit.
0.2743125465364158		SimpleArgument(We,List([0, 2)))	Relation(offer,List([8, 13)))	SimpleArgument(a fruit bar called I fit,List([14, 38)))	We also offer a fruit and Smoothie bar called I fit.
0.31989095729150846		SimpleArgument(you,List([46, 49)))	Relation(workout,List([50, 57)))		We also have an area to watch your kids while you workout.
0.2743125465364158		SimpleArgument(We,List([0, 2)))	Relation(have,List([8, 12)))	SimpleArgument(an area to watch your kids,List([13, 39)))	We also have an area to watch your kids while you workout.
0.7204007205331314		SimpleArgument(our oldest member,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(85years old,List([21, 32)))	Our Youngest member is 10years old and our oldest member is 85years old.
0.7204007205331314		SimpleArgument(Our Youngest member,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(10years old,List([23, 34)))	Our Youngest member is 10years old and our oldest member is 85years old.
0.8666492098582788		SimpleArgument(USA GYM,List([0, 7)))	Relation(opened in,List([8, 14), [15, 17)))	TemporalArgument(the fall of 1992,List([18, 34)))	USA GYM opened in the fall of 1992.
