0.3497525988439521		SimpleArgument(I,List({0}))	Relation(have resided in Plant City for,List([2, 14), [15, 28), [39, 42)))	TemporalArgument(more than 58 years,List([43, 61)))	I was born in Moultrie Georgia but have resided in Plant City, Florida for more than 58 years.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(have resided in,List([2, 14), [15, 17)))	SimpleArgument(Plant City,List([18, 28)))	I was born in Moultrie Georgia but have resided in Plant City, Florida for more than 58 years.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(was born in,List([2, 10), [11, 13)))	SpatialArgument(Moultrie Georgia,List([14, 30)))	I was born in Moultrie Georgia but have resided in Plant City, Florida for more than 58 years.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(one great grandchild,List([7, 27)))	I am married to Betty Marie and have three children, eight grand children and one great grandchild.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(eight grand children,List([7, 27)))	I am married to Betty Marie and have three children, eight grand children and one great grandchild.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(three children,List([7, 21)))	I am married to Betty Marie and have three children, eight grand children and one great grandchild.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(married to Betty Marie,List([5, 27)))	I am married to Betty Marie and have three children, eight grand children and one great grandchild.
0.6054991544878838		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag as much time as I possibly can with my family,List([19, 69)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.6054991544878838		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag as much time as I possibly can with my grandchildren,List([19, 76)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag spending with my family,List([19, 47)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag spending with my grandchildren,List([19, 54)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag fishing with my family,List([19, 46)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag fishing with my grandchildren,List([19, 53)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.7323734373534755		SimpleArgument(stock car,List([24, 33)))	Relation(racing,List([34, 40)))		My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.6381012045821894		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag stock car,List([19, 33)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag racing with my family,List([19, 45)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.48903187625367955		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(drag racing with my grandchildren,List([19, 52)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.6381012045821894		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(showing custom cars,List([19, 38)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.3833177039030785		SimpleArgument(My hobbies,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(building,List([19, 27)))	My hobbies include building and showing custom cars, drag racing, stock car racing, fishing and spending as much time as I possibly can with my grandchildren and family.
0.9432816123537144		SimpleArgument(a career veteran in the electrical sign trade,List([5, 50)))	Relation(having,List([51, 57)))	SimpleArgument(forty-three years of experience in the industry,List([58, 105)))	I am a career veteran in the electrical sign trade having forty-three years of experience in the industry.
0.6367319478431899		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a career veteran in the electrical sign trade having forty-three years of experience in the industry,List([5, 105)))	I am a career veteran in the electrical sign trade having forty-three years of experience in the industry.
0.15939332484157967		SimpleArgument(I,List({0}))	Relation(started my career in,List([2, 9), [10, 19), [40, 42)))	TemporalArgument(1968,List([43, 47)))	I started my career with ArtCraft Signs in 1968.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(started my career with,List([2, 9), [10, 19), [20, 24)))	SimpleArgument(ArtCraft Signs,List([25, 39)))	I started my career with ArtCraft Signs in 1968.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(my career,List([10, 19)))	I started my career with ArtCraft Signs in 1968.
0.22506131975927415		SimpleArgument(I,List({32}))	Relation(remained until,List([34, 42), [43, 48)))	TemporalArgument(1985,List([49, 53)))	Artcraft became Heath and Company, where I remained until 1985.
0.9324144673478683		SimpleArgument(Artcraft,List([0, 8)))	Relation(became,List([9, 15)))	SimpleArgument(Company,List([16, 23)))	Artcraft became Heath and Company, where I remained until 1985.
0.9324144673478683		SimpleArgument(Artcraft,List([0, 8)))	Relation(became,List([9, 15)))	SimpleArgument(Heath,List([16, 21)))	Artcraft became Heath and Company, where I remained until 1985.
0.39967452567979506		SimpleArgument(I,List({68}))	Relation(have remained,List([70, 83)))	SpatialArgument(my own sign company,List([42, 61)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.3498441627223176		SimpleArgument(I,List({68}))	Relation(have remained since,List([70, 83), [84, 89)))	SimpleArgument(my departure from Heath,List([90, 113)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(started the adventure of owning my own sign company In,List([0, 2), [10, 53), [54, 61)))	TemporalArgument(1985,List([3, 7)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.30899953469486874		SimpleArgument(I,List({8}))	Relation(started,List([10, 17)))	SimpleArgument(the adventure of owning my own sign company,List([18, 61)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(left Heath In,List([0, 2), [10, 14), [15, 20)))	TemporalArgument(1985,List([3, 7)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.5680679595514976		SimpleArgument(I,List({8}))	Relation(left,List([10, 14)))	SimpleArgument(Heath,List([15, 20)))	In 1985 I left Heath and started the adventure of owning my own sign company where I have remained since my departure from Heath.
0.3048426724432105		SimpleArgument(I,List({16}))	Relation(became the plant manager,List([174, 180), [181, 198)))	TemporalArgument(then,List([169, 173)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.41051436014453063		SimpleArgument(I,List({16}))	Relation(became,List([174, 180)))	SimpleArgument(the plant manager,List([181, 198)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.5275899385541258		SimpleArgument(I,List({16}))	Relation(became,List([93, 99)))	SimpleArgument(the installation/service manager, advanced to the operations manager,List([100, 168)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.3125601471068353		SimpleArgument(I,List({16}))	Relation(moved to,List([57, 62), [68, 70)))	SimpleArgument(a service technician,List([71, 91)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.1926596387851145		SimpleArgument(I,List({16}))	Relation(moved to a service technician,List([57, 62), [68, 91)))	SimpleArgument(over,List([63, 67)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.5926659981335703		SimpleArgument(I,List({16}))	Relation(started as an installation apprentice While,List([0, 5), [18, 44), [45, 55)))	SpatialArgument(at Heath,List([6, 14)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.45170382506656653		SimpleArgument(I,List({16}))	Relation(started as,List([18, 25), [26, 28)))	SimpleArgument(an installation apprentice,List([29, 55)))	While at Heath, I started as an installation apprentice, moved over to a service technician, became the installation/service manager, advanced to the operations manager then became the plant manager.
0.836691001262673		SimpleArgument(My time spent with Heath,List([0, 24)))	Relation(enabled me to,List([25, 32), [33, 35), [36, 38)))	SimpleArgument(gain knowledge of all phases of the sign industry from sales , site fabrication of all types of neon , plastic signs including distortion screening of service,List([39, 197)))	My time spent with Heath enabled me to gain knowledge of all phases of the sign industry from sales, site survey, design, estimating, engineering, contract review and negotiations, fabrication of all types of neon, metal and plastic signs including distortion screening of faces, permitting, project management, installation and service.
