0.9344893211562376		SimpleArgument(a student at Fordham University,List([15, 46)))	Relation(is pursuing,List([51, 62)))	SimpleArgument(a career in the field of business,List([63, 96)))	I am currently a student at Fordham University who is pursuing a career in the field of business.
0.5229421046090251		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a student at Fordham University,List([15, 46)))	I am currently a student at Fordham University who is pursuing a career in the field of business.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(am a student at Fordham University,List([2, 4), [15, 46)))	TemporalArgument(currently,List([5, 14)))	I am currently a student at Fordham University who is pursuing a career in the field of business.
0.6406664004203719		SimpleArgument(My interest in business,List([0, 23)))	Relation(started,List([24, 31)))	TemporalArgument(when placed in a regional competition,List([47, 84)))	My interest in business started in high school when I created a business proposal on organic tie dye t-shirts and placed in a regional competition.
0.5691839633287576		SimpleArgument(I,List({52}))	Relation(created,List([54, 61)))	SimpleArgument(a business proposal on organic tie dye t - shirts,List([62, 111)))	My interest in business started in high school when I created a business proposal on organic tie dye t-shirts and placed in a regional competition.
0.608153531529156		SimpleArgument(My interest in business,List([0, 23)))	Relation(started,List([24, 31)))	TemporalArgument(when I created a business proposal on organic tie dye t - shirts,List([47, 111)))	My interest in business started in high school when I created a business proposal on organic tie dye t-shirts and placed in a regional competition.
0.6814400456876439		SimpleArgument(My interest in business,List([0, 23)))	Relation(started in,List([24, 31), [32, 34)))	SpatialArgument(high school,List([35, 46)))	My interest in business started in high school when I created a business proposal on organic tie dye t-shirts and placed in a regional competition.
0.8872966301155124		SimpleArgument(a business,List([22, 32)))	Relation(incorporated,List([38, 50)))	SimpleArgument(a component of an interest in environmental safety,List([51, 101)))	My goal was to create a business that incorporated a component of my vegan lifestyle and an interest in environmental safety.
0.8103687806061152		SimpleArgument(a business,List([22, 32)))	Relation(incorporated,List([38, 50)))	SimpleArgument(a component of my vegan lifestyle,List([51, 84)))	My goal was to create a business that incorporated a component of my vegan lifestyle and an interest in environmental safety.
0.6381012045821894		SimpleArgument(My goal,List([0, 7)))	Relation(was to,List([8, 11), [12, 14)))	SimpleArgument(create a business,List([15, 32)))	My goal was to create a business that incorporated a component of my vegan lifestyle and an interest in environmental safety.
0.2592749284927927	Context(I work,List([0, 16)))	SimpleArgument(I,List({0}))	Relation(work assisting the Dean with,List([12, 16), [59, 68), [69, 77), [78, 82)))	SimpleArgument(clerical work in the office,List([83, 110)))	I currently work at the Summer Session office at my school assisting the Dean with clerical work in the office.
0.29636580641816884	Context(I work,List([0, 16)))	SimpleArgument(I,List({0}))	Relation(work assisting,List([12, 16), [59, 68)))	SimpleArgument(the Dean,List([69, 77)))	I currently work at the Summer Session office at my school assisting the Dean with clerical work in the office.
0.3093370983644288		SimpleArgument(I,List({0}))	Relation(work,List([12, 16)))	TemporalArgument(currently,List([2, 11)))	I currently work at the Summer Session office at my school assisting the Dean with clerical work in the office.
0.15966102676195504		SimpleArgument(I,List({0}))	Relation(work at,List([12, 16), [46, 48)))	SpatialArgument(my school,List([49, 58)))	I currently work at the Summer Session office at my school assisting the Dean with clerical work in the office.
0.39213989408341976		SimpleArgument(I,List({0}))	Relation(work at,List([12, 16), [17, 19)))	SpatialArgument(the Summer Session office,List([20, 45)))	I currently work at the Summer Session office at my school assisting the Dean with clerical work in the office.
0.263652756827333	Context(I plan,List([23, 29)))	SimpleArgument(I,List({23}))	Relation(plan on solidifying,List([25, 29), [30, 44)))	SimpleArgument(my career choice,List([45, 61)))	At the end of the year I plan on solidifying my career choice.
0.263652756827333		SimpleArgument(I,List({23}))	Relation(plan on,List([25, 29), [30, 32)))	SimpleArgument(solidifying my career choice,List([33, 61)))	At the end of the year I plan on solidifying my career choice.
