0.8574392832114158		SimpleArgument(an experienced business owner,List([9, 38)))	Relation(returned,List([48, 56)))	TemporalArgument(recently,List([39, 47)))	Sarah is an experienced business owner recently returned to study to pursue a career in academia.
0.9052256377408016		SimpleArgument(an experienced business owner,List([9, 38)))	Relation(returned to,List([48, 56), [57, 59)))	SimpleArgument(study to pursue a career in academia,List([60, 96)))	Sarah is an experienced business owner recently returned to study to pursue a career in academia.
0.9383119524695255		SimpleArgument(Sarah,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(an experienced business owner recently returned,List([9, 56)))	Sarah is an experienced business owner recently returned to study to pursue a career in academia.
0.3880890333449538	Context(professional academic training means,List([22, 58)))	SimpleArgument(she,List([59, 62)))	Relation(can communicate in,List([63, 78), [79, 81)))	SimpleArgument(range of international business contexts in an credible manner,List([82, 144)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of international business contexts in an credible manner,List([59, 144)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of international business contexts in an authentic manner,List([59, 145)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional academic training means,List([22, 58)))	SimpleArgument(she,List([59, 62)))	Relation(can communicate in,List([63, 78), [79, 81)))	SimpleArgument(range of international business contexts,List([82, 122)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of international business contexts in an appropriate manner,List([59, 147)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional academic training means,List([22, 58)))	SimpleArgument(she,List([59, 62)))	Relation(can communicate in,List([63, 78), [79, 81)))	SimpleArgument(range of local business contexts in an credible manner,List([82, 136)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of local business contexts in an credible manner,List([59, 136)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of local business contexts in an authentic manner,List([59, 137)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional academic training means,List([22, 58)))	SimpleArgument(she,List([59, 62)))	Relation(can communicate in,List([63, 78), [79, 81)))	SimpleArgument(range of local business contexts,List([82, 114)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.873010113140102		SimpleArgument(professional academic training,List([22, 52)))	Relation(means,List([53, 58)))	SimpleArgument(she can communicate in range of local business contexts in an appropriate manner,List([59, 139)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional experience means,List([22, 51)))	SimpleArgument(she,List([52, 55)))	Relation(can communicate in,List([56, 71), [72, 74)))	SimpleArgument(range of international business contexts in an credible manner,List([75, 137)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of international business contexts in an credible manner,List([52, 137)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of international business contexts in an authentic manner,List([52, 138)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional experience means,List([22, 51)))	SimpleArgument(she,List([52, 55)))	Relation(can communicate in,List([56, 71), [72, 74)))	SimpleArgument(range of international business contexts,List([75, 115)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of international business contexts in an appropriate manner,List([52, 140)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional experience means,List([22, 51)))	SimpleArgument(she,List([52, 55)))	Relation(can communicate in,List([56, 71), [72, 74)))	SimpleArgument(range of local business contexts in an credible manner,List([75, 129)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of local business contexts in an credible manner,List([52, 129)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of local business contexts in an authentic manner,List([52, 130)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.3880890333449538	Context(professional experience means,List([22, 51)))	SimpleArgument(she,List([52, 55)))	Relation(can communicate in,List([56, 71), [72, 74)))	SimpleArgument(range of local business contexts,List([75, 107)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.8619054578069097		SimpleArgument(professional experience,List([22, 45)))	Relation(means,List([46, 51)))	SimpleArgument(she can communicate in range of local business contexts in an appropriate manner,List([52, 132)))	Her business smarts, professional experience and academic training means she can communicate in range of local and international business contexts in an appropriate, authentic and credible manner.
0.7577519913650632	Context(Sarah worked,List([28, 40)))	SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage,List([34, 40), [76, 85)))	SimpleArgument(various aspects of their messaging,List([86, 120)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
