0.9324144673478683		SimpleArgument(Maria,List([4, 9)))	Relation(was born in,List([10, 18), [19, 21)))	SpatialArgument(Stellenbosch,List([22, 34)))	CV: Maria was born in Stellenbosch, South Africa (1993).
0.44469037867649003		SimpleArgument(She,List([0, 3)))	Relation(followed ever since,List([4, 12), [27, 37)))	SimpleArgument(piano lessons,List([13, 26)))	She began playing the piano at the age of three, and followed piano lessons ever since.
0.39746064682094406	Context(She began,List([0, 9)))	SimpleArgument(She,List([0, 3)))	Relation(began playing the piano at,List([4, 9), [10, 17), [18, 27), [28, 30)))	TemporalArgument(the age of three,List([31, 47)))	She began playing the piano at the age of three, and followed piano lessons ever since.
0.39746064682094406	Context(She began,List([0, 9)))	SimpleArgument(She,List([0, 3)))	Relation(began playing,List([4, 9), [10, 17)))	SimpleArgument(the piano,List([18, 27)))	She began playing the piano at the age of three, and followed piano lessons ever since.
0.39746064682094406		SimpleArgument(She,List([0, 3)))	Relation(began,List([4, 9)))	SimpleArgument(playing the piano at the age of three,List([10, 47)))	She began playing the piano at the age of three, and followed piano lessons ever since.
0.5733539311623552		SimpleArgument(she,List([17, 20)))	Relation(to study as,List([34, 42), [43, 45)))	SimpleArgument(a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch,List([46, 122)))	At the age of 11 she got accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch.
0.547338059826203		SimpleArgument(she,List([17, 20)))	Relation(got accepted At,List([0, 24), [25, 33)))	TemporalArgument(the age of 11,List([3, 16)))	At the age of 11 she got accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch.
0.6160004474461185		SimpleArgument(she,List([17, 20)))	Relation(got accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch At,List([0, 2), [21, 109), [110, 122)))	TemporalArgument(the age of 11,List([3, 16)))	At the age of 11 she got accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch.
0.6783685094789625		SimpleArgument(she,List([17, 20)))	Relation(got,List([21, 24)))	SimpleArgument(accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch,List([25, 122)))	At the age of 11 she got accepted to study as a young talent under Prof. Nina Schumann at the Conservatory of Stellenbosch.
0.4328394458044063	Context(she continued,List([52, 65)))	SimpleArgument(she,List([52, 55)))	Relation(continued studying the piano under,List([56, 65), [66, 74), [75, 84), [85, 90)))	SpatialArgument(Henk Ekkel,List([91, 101)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4328394458044063	Context(she continued,List([52, 65)))	SimpleArgument(she,List([52, 55)))	Relation(continued studying the piano under,List([56, 65), [66, 74), [75, 84), [85, 90)))	SpatialArgument(Ksenia Kouzmenko,List([91, 107)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
