0.7378635968700462		SimpleArgument(My name,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(Melissa Perica,List([11, 25)))	My name is Melissa Perica.
0.8847999636040884		SimpleArgument(I,List({0}))	Relation(am a student at,List([2, 17)))	SimpleArgument(Arizona State University,List([18, 42)))	I am a student at Arizona State University who is majoring in Biology specifically in Environmental Science.
0.9497646913932042		SimpleArgument(a student at Arizona State University,List([5, 42)))	Relation(is majoring in,List([47, 58), [59, 61)))	SpatialArgument(Biology specifically in Environmental Science,List([62, 107)))	I am a student at Arizona State University who is majoring in Biology specifically in Environmental Science.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a student at Arizona State University,List([5, 42)))	I am a student at Arizona State University who is majoring in Biology specifically in Environmental Science.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(had earned my Associate in Science degree at,List([2, 12), [13, 43), [44, 46)))	SpatialArgument(Phoenix College,List([47, 62)))	I had earned my Associate in Science degree at Phoenix College.
0.3498441627223176		SimpleArgument(I,List({0}))	Relation(had earned,List([2, 12)))	SimpleArgument(my Associate in Science degree,List([13, 43)))	I had earned my Associate in Science degree at Phoenix College.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(volunteered at,List([2, 13), [14, 16)))	SpatialArgument(the Arizona Humane Society,List([17, 43)))	I volunteered at the Arizona Humane Society.
0.8847999636040884		SimpleArgument(I,List({0}))	Relation(am a member of,List([2, 16)))	SimpleArgument(Phi Theta Kappa,List([17, 32)))	I participated in several clubs and I am a member of  Phi Theta Kappa.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a member of Phi Theta Kappa,List([5, 32)))	I participated in several clubs and I am a member of  Phi Theta Kappa.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(participated in,List([2, 14), [15, 17)))	SimpleArgument(several clubs,List([18, 31)))	I participated in several clubs and I am a member of  Phi Theta Kappa.
0.22506131975927415		SimpleArgument(I,List({0}))	Relation(have taken many courses since,List([2, 12), [13, 25), [26, 31)))	TemporalArgument(2014,List([32, 36)))	I have taken many courses since 2014.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have taken,List([2, 12)))	SimpleArgument(many courses,List([13, 25)))	I have taken many courses since 2014.
