0.8704999223335219		SimpleArgument(Adam Ghassemi,List([0, 13)))	Relation(serves as the Director of the Tennessee Department of State,List([24, 30), [31, 83)))	TemporalArgument(currently,List([14, 23)))	Adam Ghassemi currently serves as the Director of Communications for Tennessee Secretary of State Tre Hargett and the Tennessee Department of State.
0.9277724913494431		SimpleArgument(Adam Ghassemi,List([0, 13)))	Relation(serves as,List([24, 30), [31, 33)))	SimpleArgument(the Director of the Tennessee Department of State,List([34, 83)))	Adam Ghassemi currently serves as the Director of Communications for Tennessee Secretary of State Tre Hargett and the Tennessee Department of State.
0.899173195620711		SimpleArgument(Adam Ghassemi,List([0, 13)))	Relation(serves as the Director of Communications for Tennessee Secretary of State Tre Hargett,List([24, 30), [31, 109)))	TemporalArgument(currently,List([14, 23)))	Adam Ghassemi currently serves as the Director of Communications for Tennessee Secretary of State Tre Hargett and the Tennessee Department of State.
0.9537030813373246		SimpleArgument(Adam Ghassemi,List([0, 13)))	Relation(serves as,List([24, 30), [31, 33)))	SimpleArgument(the Director of Communications for Tennessee Secretary of State Tre Hargett,List([34, 109)))	Adam Ghassemi currently serves as the Director of Communications for Tennessee Secretary of State Tre Hargett and the Tennessee Department of State.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes public affairs , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 241)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes public affairs , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 249)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes issues management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 244)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes issues management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 252)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes crisis communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 248)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes crisis communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 256)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes content management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 245)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
