0.9699974998635915		SimpleArgument(Nick Ferraro,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(a rising third year student at The University of Chicago,List([16, 72)))	Nick Ferraro is a rising third year student at The University of Chicago.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is majoring in,List([3, 14), [15, 17)))	SpatialArgument(Minoring in Statistics,List([18, 40)))	He is majoring in Economics and Minoring in Statistics.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is majoring in Economics in,List([3, 14), [15, 27), [28, 30)))	SpatialArgument(Statistics,List([31, 41)))	He is majoring in Economics and Minoring in Statistics.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is majoring in,List([3, 14), [15, 17)))	SimpleArgument(Economics,List([18, 27)))	He is majoring in Economics and Minoring in Statistics.
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a two year member of the varsity football team,List([7, 53)))	He is a second year starter for the varsity wrestling team at the 165lb weight class, and was a two year member of the varsity football team, 2014 UAA Conference Champions.
0.6367319478431899		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a second year starter for the varsity wrestling team at the 165 lb weight class,List([6, 85)))	He is a second year starter for the varsity wrestling team at the 165lb weight class, and was a two year member of the varsity football team, 2014 UAA Conference Champions.
0.5827094352125682		SimpleArgument(he,List([61, 63)))	Relation(earned UAA Conference Champion In,List([0, 2), [64, 85), [86, 94)))	TemporalArgument(his two years as a varsity starter on the wrestling team,List([3, 59)))	In his two years as a varsity starter on the wrestling team, he earned UAA Conference Champion both years.
0.45170382506656653		SimpleArgument(he,List([61, 63)))	Relation(earned UAA Conference Champion,List([64, 70), [71, 94)))	SimpleArgument(both years,List([95, 105)))	In his two years as a varsity starter on the wrestling team, he earned UAA Conference Champion both years.
0.4978219019954182		SimpleArgument(he,List([61, 63)))	Relation(earned,List([64, 70)))	SimpleArgument(UAA Conference Champion,List([71, 94)))	In his two years as a varsity starter on the wrestling team, he earned UAA Conference Champion both years.
0.8550806581371961		SimpleArgument(Nick,List([0, 4)))	Relation(has completed,List([5, 18)))	SimpleArgument(courses,List([19, 26)))	Nick has completed courses in microeconomics, physics, calculus, and financial accounting (Booth School of Business).
0.8550806581371961		SimpleArgument(Nick,List([0, 4)))	Relation(has completed,List([5, 18)))	SimpleArgument(courses in microeconomics,List([19, 44)))	Nick has completed courses in microeconomics, physics, calculus, and financial accounting (Booth School of Business).
